target_result
1/408:Georgios Vouros
5/408:Georgios Paliouras
6/408 (standby):Themistoklis Panagiotopoulos
11/408:Elpida Keravnou - Papailiou
23/408 (standby):Konstantinos Stathis
31/408:Grigorios Antoniou
48/408 (standby):Pavlos Peppas
63/408 (standby):Dimitrios Kalles
98/408:Emmanouil Koumparakis
132/408:Pavlos Moraitis
164/408 (standby):Panagiotis Stamatopoulos
191/408 (standby):Georgios Chalkiadakis
Average Precision: 0.27040735180937286
