target_result
1/408 (standby):Themistoklis Panagiotopoulos
7/408:Elpida Keravnou - Papailiou
25/408 (standby):Panagiotis Stamatopoulos
27/408:Georgios Paliouras
35/408 (standby):Konstantinos Stathis
40/408:Georgios Vouros
56/408 (standby):Dimitrios Kalles
99/408:Grigorios Antoniou
145/408 (standby):Pavlos Peppas
161/408:Pavlos Moraitis
186/408 (standby):Georgios Chalkiadakis
208/408:Emmanouil Koumparakis
Average Precision: 0.1911283764104732
