target_result
1/410 (standby):Charalambos Vrasidas
2/410:Dimitrios Sampson
3/410 (standby):Charoula Angeli
4/410:Athanasios Tzimogiannis
5/410:Vasileios Komis
6/410 (standby):Polyxeni Pange - Lekka
7/410 (standby):Thanasis Chatzilakos
8/410:Symeon Retalis
9/410 (standby):Ioannis Dimitriadis
11/410:Christos Panagiotakopoulos
12/410:Anastasios Mikropoulos
15/410 (standby):Charalampos Karagiannidis 
18/410 (standby):Anastasios  Oikonomidis
25/410 (standby):Maria - Aikaterini Satratzemi
27/410 (standby):Nikolaos Avouris
30/410 (standby):Maria  Virvou
"Metric1:0.7431693989071039, top_19=81.25%, Average Precision:0.8748042929292928, Prize_metric:0.9902173913043478, Reciprocal Rank:1, Coverage:30"
