target_result
1/410 (standby):Charalambos Vrasidas
2/410 (standby):Charoula Angeli
3/410 (standby):Thanasis Chatzilakos
4/410:Dimitrios Sampson
6/410 (standby):Polyxeni Pange - Lekka
7/410:Athanasios Tzimogiannis
8/410:Anastasios Mikropoulos
9/410 (standby):Charalampos Karagiannidis 
10/410:Vasileios Komis
11/410:Symeon Retalis
12/410 (standby):Anastasios  Oikonomidis
15/410 (standby):Ioannis Dimitriadis
17/410 (standby):Maria  Virvou
18/410 (standby):Maria - Aikaterini Satratzemi
20/410 (standby):Nikolaos Avouris
37/410:Christos Panagiotakopoulos
"Metric1:0.7555555555555555, top_19=93.75%, Average Precision:0.8565649217303628, Prize_metric:0.9906832298136646, Reciprocal Rank:1, Coverage:37"
