target_result
43/410 (standby):Vasileios Megalooikonomou
45/410:Georgios Paliouras
60/410:Stefanos Kollias 
94/410:Dimitrios  Gounopoulos
104/410:Theodoros Evgeniou
113/410 (standby):Ioannis Theodoridis
169/410:Aristeidis Lykas
173/410 (standby):Themis Palpanas
185/410 (standby):Maria Chalkidi
239/410 (standby):Andreas-Georgios Stafylopatis
334/410:Panagiotis Tsaparas
404/410 (standby):Maria Spiliopoulou
"Metric1:0.039735099337748346, top_15=0.0%, Average Precision:0.04185144715607799, Prize_metric:0.6091882983106716, Reciprocal Rank:43, Coverage:404"
