target_result
2/410 (standby):Michail Vrachatis
18/410:Stefanos Gkritzalis
25/410 (standby):Ioannis Emiris
38/410 (standby):Konstantinos Markantonakis
45/410:Dimitrios Poulakis
46/410:Ioannis Stamatiou
50/410 (standby):Vasilios Katos
51/410 (standby):Ioannis Mavridis
102/410:Emmanouil Magkos
158/410 (standby):Nikolaos Bourmpakis
228/410 (standby):Georgios Makris
246/410:Theodoulos Garefalakis
327/410 (standby):Nikolaos Diamantis
"Metric1:0.06811377245508982, top_15=7.6923076923076925%, Average Precision:0.12793006113105923, Prize_metric:0.7604722010662605, Reciprocal Rank:2, Coverage:327"
