target_result
2/25:Apostolos Papadopoulos
3/25 (standby):Ioannis Pitas
4/25:Nikolaos Vasileiadis
5/25 (standby):Konstantinos Kotropoulos
6/25:Ioannis Vlachavas
9/25 (standby):Athina Vakali
12/25:Eleftherios Angelis
14/25:Anastasios Tefas 
18/25 (standby):Anastasios Gounaris 
"Metric1:0.6164383561643836, top_11=77.77777777777779%, Average Precision:0.6523809523809523, Prize_metric:0.8042328042328042, Reciprocal Rank:2, Coverage:18"
