target_result
1/25:Ioannis Vlachavas
2/25:Nikolaos Vasileiadis
4/25 (standby):Athina Vakali
6/25:Apostolos Papadopoulos
8/25:Eleftherios Angelis
14/25 (standby):Konstantinos Kotropoulos
15/25 (standby):Ioannis Pitas
17/25 (standby):Anastasios Gounaris 
18/25:Anastasios Tefas 
"Metric1:0.5294117647058824, top_11=55.55555555555556%, Average Precision:0.6563881107998755, Prize_metric:0.7407407407407407, Reciprocal Rank:1, Coverage:18"
