,Average_Precision,prize_metric,Metric1,Reciprocal_rank,Coverage
agglomerative_4_PCA_25,0.393,0.8547,0.1312,1.3333,247.5
agglomerative_5_PCA_5,0.3502,0.8543,0.1248,2.3333,270.0
kmeans_5_PCA_10,0.3923,0.8543,0.1227,1.6667,256.8333
kmeans_3_PCA_3,0.351,0.8543,0.136,2.0,243.8333
kmeans_3_isomap_10,0.3607,0.8542,0.138,1.8333,233.0
agglomerative_3_isomap_7,0.3672,0.854,0.133,1.1667,230.3333
kmeans_3_PCA_25,0.363,0.8538,0.1425,2.0,230.6667
agglomerative_3_isomap_10,0.3602,0.8537,0.1413,1.3333,226.1667
kmeans_7_PCA_25,0.3928,0.8533,0.1213,1.3333,246.6667
agglomerative_5_PCA_10,0.3248,0.853,0.1185,2.3333,230.5
kmeans_5_PCA_3,0.3593,0.8528,0.1192,1.3333,260.6667
agglomerative_3_isomap_3,0.3528,0.8528,0.1363,1.6667,218.0
kmeans_3_isomap_2,0.3727,0.8527,0.139,1.6667,243.8333
kmeans_3_PCA_10,0.3612,0.8525,0.1353,2.1667,240.5
agglomerative_4_PCA_10,0.3648,0.8523,0.1248,1.6667,235.3333
agglomerative_3_isomap_5,0.3605,0.8523,0.1413,1.6667,227.0
agglomerative_5_isomap_2,0.3642,0.8523,0.1315,1.1667,229.3333
agglomerative_5_isomap_3,0.3637,0.852,0.1345,1.5,228.5
agglomerative_4_isomap_3,0.3745,0.852,0.1315,1.1667,231.1667
agglomerative_5_isomap_7,0.35,0.852,0.121,2.5,249.0
kmeans_3_PCA_5,0.3552,0.8517,0.1392,2.0,244.5
agglomerative_5_PCA_25,0.401,0.8508,0.1217,1.0,257.8333
kmeans_5_PCA_5,0.3703,0.8505,0.1255,1.8333,265.1667
agglomerative_3_isomap_2,0.3538,0.8498,0.1282,1.1667,244.5
agglomerative_4_isomap_7,0.3418,0.8497,0.1242,2.6667,245.5
agglomerative_4_isomap_10,0.3612,0.8467,0.1337,1.3333,236.6667
agglomerative_4_isomap_5,0.353,0.8467,0.1298,1.6667,247.1667
kmeans_7_isomap_25,0.3842,0.8387,0.1283,1.5,261.6667
agglomerative_7_isomap_25,0.3945,0.8262,0.116,1.1667,266.6667
agglomerative_2_isomap_25,0.353,0.8223,0.1233,1.0,275.5
kmeans_5_isomap_25,0.3565,0.8193,0.1117,1.3333,279.0
kmeans_2_isomap_25,0.344,0.8187,0.1235,1.0,277.5
agglomerative_5_isomap_25,0.3815,0.818,0.1137,1.1667,284.8333
agglomerative_3_isomap_25,0.36,0.8175,0.1275,1.0,274.1667
kmeans_3_isomap_25,0.3408,0.815,0.1263,1.8333,274.8333
kmeans_4_isomap_25,0.346,0.8148,0.1165,1.1667,281.1667
agglomerative_4_isomap_25,0.3642,0.8133,0.1192,1.1667,281.5
