,Average_Precision,prize_metric,Metric1,Reciprocal_rank,Coverage
kmeans_4_isomap_3,0.6185,0.7437,0.51,1.3333,19.1667
agglomerative_3_PCA_10,0.6178,0.7418,0.5425,1.3333,18.5
agglomerative_3_isomap_2,0.6175,0.7395,0.5227,1.3333,19.3333
kmeans_2_isomap_25,0.6172,0.739,0.5343,1.3333,19.0
kmeans_4_PCA_5,0.6168,0.7517,0.536,1.5,18.8333
kmeans_2_isomap_10,0.6168,0.7382,0.5333,1.3333,19.0
agglomerative_3_isomap_10,0.6167,0.7308,0.5118,1.1667,19.0
kmeans_5_isomap_7,0.6162,0.7445,0.519,1.3333,19.1667
agglomerative_2_isomap_2,0.6162,0.7363,0.5217,1.3333,19.1667
kmeans_5_isomap_5,0.6158,0.7428,0.5125,1.3333,19.3333
kmeans_5_isomap_3,0.6158,0.7453,0.5107,1.3333,19.1667
agglomerative_4_PCA_3,0.6158,0.7422,0.522,1.5,19.3333
agglomerative_7_isomap_10,0.6155,0.7527,0.5422,1.5,18.8333
kmeans_5_isomap_2,0.6147,0.7582,0.5427,1.5,18.8333
agglomerative_2_isomap_10,0.6147,0.7385,0.5165,1.3333,19.0
kmeans_4_isomap_2,0.6145,0.7467,0.5283,1.5,19.0
kmeans_2_isomap_5,0.6138,0.7368,0.5303,1.3333,19.0
kmeans_4_isomap_5,0.6135,0.735,0.5083,1.3333,19.3333
kmeans_4_PCA_3,0.6125,0.7478,0.5293,1.5,19.0
kmeans_5_PCA_2,0.6125,0.763,0.5443,1.5,19.1667
agglomerative_7_isomap_5,0.6122,0.7422,0.5278,1.3333,19.1667
agglomerative_2_isomap_25,0.612,0.738,0.5188,1.3333,19.1667
kmeans_7_isomap_2,0.611,0.7568,0.5435,1.5,19.0
kmeans_2_isomap_3,0.6097,0.7377,0.5292,1.3333,19.0
kmeans_7_isomap_7,0.6085,0.744,0.5267,1.5,19.3333
kmeans_7_isomap_5,0.6058,0.7385,0.5145,1.5,19.6667
agglomerative_5_isomap_2,0.605,0.7535,0.5395,1.5,19.0
agglomerative_2_isomap_3,0.6025,0.73,0.5093,1.3333,19.1667
agglomerative_5_isomap_3,0.6018,0.745,0.5213,1.5,19.3333
kmeans_4_isomap_10,0.6017,0.7323,0.5063,1.5,19.1667
kmeans_5_isomap_25,0.6015,0.7392,0.5058,1.5,19.1667
kmeans_5_isomap_10,0.6013,0.7395,0.51,1.5,19.0
agglomerative_5_isomap_7,0.6005,0.7448,0.5325,1.5,19.0
kmeans_5_PCA_5,0.596,0.737,0.5095,1.5,19.5
max_articles,0.584,0.7353,0.5307,2.0,19.3333
kmeans_7_isomap_10,0.5745,0.7195,0.4998,1.6667,19.6667
agglomerative_5_isomap_10,0.5735,0.7345,0.5093,1.5,19.1667
agglomerative_5_isomap_5,0.5662,0.7232,0.5118,1.5,18.8333
