target_result
1/410:Chrysi Kokologiannaki
3/410 (standby):Ioannis Antoniou
7/410 (standby):Gerasimos Barmpatis
8/410:Ioannis Stratis
12/410 (standby):Ioannis Rekanos
18/410 (standby):Georgios Fikioris
19/410:Antonis Charalampopoulos
30/410:Georgia Karali
38/410 (standby):Drosos Gkintidis
59/410 (standby):Konstantinos Chrysafinos
68/410 (standby):Christos Nikolopoulos
76/410 (standby):Vasileios Rothos
121/410 (standby):Vasileios Sevroglou
159/410:Theodora Ioannidou
169/410 (standby):Athanasios Giannakopoulos
193/410:Dimitrios Frantzeskakis 
"Metric1:0.13863404689092762, top_19=43.75%, Average Precision:0.3170916356122419, Prize_metric:0.866304347826087, Reciprocal Rank:1, Coverage:193"
