target_result
3/410:Chrysi Kokologiannaki
4/410 (standby):Georgios Fikioris
7/410 (standby):Ioannis Antoniou
8/410:Ioannis Stratis
13/410:Dimitrios Frantzeskakis 
18/410 (standby):Gerasimos Barmpatis
19/410:Antonis Charalampopoulos
41/410 (standby):Ioannis Rekanos
58/410 (standby):Konstantinos Chrysafinos
63/410:Georgia Karali
65/410 (standby):Vasileios Rothos
66/410 (standby):Vasileios Sevroglou
69/410:Theodora Ioannidou
70/410 (standby):Drosos Gkintidis
151/410 (standby):Athanasios Giannakopoulos
255/410 (standby):Christos Nikolopoulos
"Metric1:0.14945054945054945, top_19=43.75%, Average Precision:0.2661772906726137, Prize_metric:0.8773291925465838, Reciprocal Rank:3, Coverage:255"
