target_result
1/410 (standby):Ioannis Ioannidis
51/410 (standby):Vasilis Christofidis
55/410 (standby):Evangelia Pitoura
81/410:Dimitrios Plexousakis
83/410 (standby):Michail Vazirgiannis
92/410:Ioannis Theodoridis
107/410 (standby):Panagiotis Kalnis
109/410 (standby):Dimitrios  Gounopoulos
115/410 (standby):Minos Garofalakis
116/410:Georgios Evangelidis
124/410:Panagiotis Vasileiadis
148/410 (standby):Nikolaos Mamoulis
159/410:Spyridon Sioutas
188/410:Michail Vasilakopoulos
330/410 (standby):Kyriakos Mouratidis
"Metric1:0.06822057987492894, top_18=6.666666666666667%, Average Precision:0.12955729531048255, Prize_metric:0.7263854425144748, Reciprocal Rank:1, Coverage:330"
