,Average_Precision,prize_metric,Metric1,Reciprocal_rank,Coverage
agglomerative_5_isomap_10,0.6185,0.8135,0.5908,1.8,14.1
agglomerative_5_isomap_5,0.6213,0.8119,0.5901,1.7,14.4
agglomerative_2_isomap_10,0.6661,0.8122,0.5901,1.5,15.1
kmeans_3_PCA_3,0.6765,0.8145,0.5899,1.5,15.5
spectral_4_PCA_7,0.6687,0.8088,0.5898,1.4,15.2
kmeans_3_PCA_2,0.6654,0.8117,0.5894,1.6,15.0
kmeans_3_PCA_7,0.6646,0.8044,0.589,1.5,15.4
kmeans_3_isomap_3,0.6446,0.8076,0.5888,1.6,15.3
agglomerative_3_PCA_3,0.6588,0.8093,0.5877,1.5,15.0
agglomerative_3_PCA_5,0.664,0.8068,0.587,1.5,15.5
spectral_4_PCA_3,0.6518,0.818,0.5869,1.6,15.5
spectral_7_PCA_10,0.6548,0.796,0.5869,1.5,15.4
spectral_2_PCA_10,0.6696,0.8019,0.5868,1.4,15.6
agglomerative_3_isomap_10,0.6742,0.805,0.5867,1.4,15.1
kmeans_2_isomap_7,0.6427,0.8105,0.5865,1.6,14.9
spectral_3_PCA_7,0.6557,0.809,0.5865,1.5,15.1
agglomerative_2_isomap_2,0.657,0.8091,0.586,1.5,15.4
kmeans_2_isomap_10,0.6412,0.8095,0.5852,1.6,15.0
agglomerative_3_PCA_10,0.6607,0.8071,0.584,1.5,15.5
spectral_5_PCA_10,0.6555,0.7922,0.5836,1.5,16.3
spectral_2_PCA_5,0.6417,0.8019,0.5834,1.5,15.1
spectral_3_PCA_10,0.6735,0.8012,0.5834,1.4,15.8
agglomerative_2_isomap_3,0.6533,0.8072,0.5833,1.5,15.2
kmeans_3_isomap_7,0.6432,0.8035,0.5809,1.6,15.4
spectral_5_PCA_3,0.6562,0.8171,0.5805,1.5,15.8
agglomerative_3_isomap_7,0.6754,0.8051,0.5791,1.4,15.5
spectral_4_PCA_10,0.6416,0.7953,0.5785,1.6,15.7
kmeans_3_PCA_5,0.6462,0.7988,0.5785,1.6,15.2
kmeans_3_isomap_10,0.6329,0.8039,0.578,1.7,15.2
agglomerative_3_PCA_7,0.6469,0.7986,0.578,1.6,15.2
agglomerative_3_isomap_5,0.6486,0.7941,0.5757,1.5,15.5
agglomerative_3_isomap_2,0.6342,0.8005,0.5737,1.6,15.4
spectral_7_PCA_5,0.6413,0.8024,0.5728,1.4,15.0
kmeans_3_isomap_5,0.6251,0.7977,0.5709,1.7,15.5
agglomerative_3_isomap_3,0.6494,0.7983,0.5685,1.4,15.0
kmeans_3_isomap_2,0.6277,0.8018,0.5678,1.7,15.3
spectral_3_PCA_5,0.6347,0.795,0.5646,1.4,15.4
spectral_4_PCA_5,0.6435,0.7891,0.5642,1.3,15.7
spectral_5_PCA_5,0.6202,0.7904,0.562,1.5,15.0
scibert_mean,0.5537,0.7367,0.4926,2.0,18.5
scibert_average_agglomerative_2_isomap_5,0.5537,0.7404,0.4923,1.9,17.6
scibert_max_articles,0.5616,0.7446,0.4882,1.6,18.5
scibert_average_kmeans_7_PCA_5,0.552,0.6927,0.4825,1.6,18.7
scibert_average_agglomerative_2_isomap_7,0.5305,0.7323,0.4816,2.2,17.5
scibert_average_kmeans_7_PCA_7,0.5532,0.7006,0.4812,1.9,18.6
scibert_average_kmeans_7_PCA_10,0.559,0.6937,0.4802,2.0,18.7
scibert_average_kmeans_2_isomap_2,0.5406,0.7325,0.4759,1.9,17.9
scibert_average_agglomerative_7_PCA_5,0.5617,0.6864,0.4749,1.8,19.1
scibert_average_agglomerative_2_isomap_10,0.5134,0.722,0.4718,2.3,17.9
scibert_average_kmeans_5_PCA_10,0.5612,0.6987,0.4691,1.3,18.9
scibert_average_agglomerative_5_PCA_5,0.549,0.6878,0.4676,1.5,19.0
scibert_average_kmeans_4_PCA_7,0.5607,0.6949,0.4669,1.3,18.9
scibert_average_agglomerative_4_PCA_5,0.5486,0.6858,0.4668,1.5,19.0
scibert_average_kmeans_5_PCA_7,0.5538,0.6935,0.4663,1.3,19.0
scibert_average_kmeans_4_PCA_3,0.5526,0.6953,0.4659,1.3,18.9
scibert_average_agglomerative_4_PCA_3,0.5507,0.6946,0.4655,1.5,19.0
scibert_average_kmeans_4_PCA_10,0.5523,0.6933,0.465,1.3,18.9
scibert_average_agglomerative_2_isomap_2,0.5145,0.717,0.4648,2.2,17.9
scibert_average_kmeans_2_isomap_10,0.5221,0.7213,0.4647,2.0,18.1
scibert_average_agglomerative_3_PCA_5,0.5467,0.685,0.4643,1.5,19.1
scibert_average_kmeans_7_PCA_3,0.5515,0.695,0.4635,1.6,19.1
scibert_average_agglomerative_5_PCA_2,0.5546,0.6877,0.4633,1.5,18.9
scibert_average_kmeans_7_PCA_2,0.5377,0.6882,0.4627,1.6,19.2
scibert_average_agglomerative_5_PCA_3,0.5364,0.6893,0.4612,1.6,18.8
scibert_average_kmeans_2_isomap_3,0.521,0.7197,0.4605,2.1,18.1
scibert_average_kmeans_5_PCA_2,0.5435,0.6888,0.4603,1.5,18.9
scibert_average_kmeans_4_PCA_5,0.5383,0.6893,0.4599,1.4,18.9
scibert_average_kmeans_2_isomap_5,0.5225,0.7178,0.459,1.8,18.1
scibert_average_agglomerative_2_isomap_3,0.5074,0.7163,0.4588,2.2,18.0
scibert_average_kmeans_5_PCA_3,0.5354,0.6898,0.4581,1.5,18.9
scibert_average_kmeans_2_isomap_7,0.5148,0.7175,0.4578,2.0,18.2
scibert_average_kmeans_5_PCA_5,0.5353,0.6866,0.4569,1.4,19.1
scibert_average_agglomerative_7_PCA_10,0.5559,0.6844,0.4566,1.5,19.6
scibert_average_agglomerative_7_PCA_2,0.4975,0.6742,0.4524,2.0,18.7
scibert_average_agglomerative_7_isomap_3,0.556,0.6997,0.4511,1.3,19.2
