,Average_Precision,prize_metric,Metric1,Reciprocal_rank,Coverage
agglomerative_7_PCA_7,0.3714,0.8864,0.1974,2.1,196.1
agglomerative_5_PCA_2,0.4129,0.8912,0.2051,1.7,196.4
agglomerative_5_isomap_7,0.4056,0.8871,0.2005,1.7,197.2
agglomerative_3_PCA_7,0.399,0.8894,0.204,2.1,197.7
agglomerative_3_PCA_10,0.3953,0.8873,0.1976,2.2,197.9
kmeans_7_PCA_10,0.4178,0.8871,0.1938,1.8,198.0
agglomerative_4_PCA_5,0.4068,0.8872,0.1967,1.6,198.9
kmeans_7_PCA_5,0.3943,0.8842,0.1962,1.6,198.9
kmeans_5_PCA_10,0.4026,0.882,0.1901,2.0,199.5
agglomerative_7_PCA_3,0.3934,0.8898,0.1975,1.7,200.1
kmeans_4_PCA_10,0.3997,0.8856,0.1995,1.7,200.7
kmeans_5_PCA_3,0.3892,0.8803,0.1885,1.7,201.1
agglomerative_5_PCA_5,0.3927,0.8847,0.1954,1.8,205.3
kmeans_5_PCA_5,0.4122,0.8834,0.2007,1.6,206.8
scibert_average_kmeans_2_isomap_2,0.1349,0.7398,0.0696,6.4,272.0
scibert_average_kmeans_2_isomap_7,0.1314,0.7355,0.0685,6.3,273.5
scibert_average_kmeans_2_isomap_10,0.134,0.7363,0.0687,6.0,275.0
scibert_average_kmeans_2_isomap_3,0.1328,0.7369,0.0689,6.6,275.2
scibert_average_agglomerative_2_isomap_5,0.1322,0.729,0.067,6.8,276.2
scibert_average_kmeans_2_isomap_5,0.1321,0.7367,0.0688,6.2,276.8
scibert_average_agglomerative_2_isomap_2,0.1461,0.7365,0.068,6.2,277.3
scibert_average_agglomerative_2_isomap_3,0.1239,0.7243,0.0656,7.7,277.6
scibert_average_agglomerative_2_isomap_10,0.1261,0.7207,0.0654,6.6,277.7
scibert_average_agglomerative_3_isomap_7,0.1389,0.7062,0.0619,7.8,278.6
scibert_average_agglomerative_3_isomap_2,0.1368,0.7008,0.0607,6.8,283.1
scibert_average_kmeans_3_isomap_5,0.1479,0.703,0.0613,7.0,283.4
scibert_average_kmeans_3_isomap_3,0.1525,0.7044,0.0616,6.9,284.4
scibert_average_kmeans_3_isomap_10,0.147,0.7026,0.0614,8.1,284.5
scibert_average_agglomerative_2_isomap_7,0.1193,0.7253,0.0661,6.9,285.1
scibert_average_agglomerative_3_isomap_10,0.1339,0.6979,0.0607,8.5,285.1
scibert_average_kmeans_3_isomap_7,0.1414,0.7044,0.0614,7.9,285.3
scibert_average_agglomerative_3_isomap_3,0.1397,0.7057,0.0617,7.9,285.4
scibert_average_agglomerative_3_isomap_5,0.1439,0.7109,0.0621,7.9,286.3
scibert_average_kmeans_3_isomap_2,0.1474,0.704,0.0618,6.9,286.4
scibert_average_kmeans_2_PCA_2,0.1345,0.6973,0.0592,6.6,290.5
scibert_average_agglomerative_2_PCA_2,0.1303,0.6967,0.0586,7.1,290.5
scibert_average_agglomerative_4_isomap_5,0.1546,0.6936,0.059,6.2,291.6
scibert_average_kmeans_2_PCA_3,0.1361,0.6938,0.0586,6.7,293.4
scibert_average_kmeans_2_PCA_5,0.1325,0.6945,0.0582,6.8,294.1
scibert_average_kmeans_2_PCA_7,0.1362,0.6955,0.0587,6.8,294.8
scibert_average_agglomerative_2_PCA_3,0.1381,0.6896,0.0578,6.6,295.3
scibert_average_kmeans_4_isomap_2,0.1436,0.697,0.0599,7.0,295.7
scibert_average_kmeans_4_isomap_10,0.1444,0.7021,0.0606,6.7,295.9
scibert_average_agglomerative_4_isomap_2,0.1471,0.6968,0.06,6.8,296.7
scibert_average_agglomerative_4_isomap_10,0.1512,0.6962,0.0591,4.5,296.7
scibert_average_kmeans_5_isomap_10,0.1484,0.6871,0.058,10.8,297.0
scibert_average_agglomerative_2_PCA_5,0.1399,0.6959,0.0591,6.7,297.8
scibert_average_agglomerative_4_isomap_3,0.1586,0.6946,0.0587,3.4,298.1
scibert_average_agglomerative_4_isomap_7,0.1398,0.6869,0.0577,4.9,298.1
scibert_average_kmeans_4_isomap_7,0.1369,0.694,0.059,6.7,298.1
scibert_average_agglomerative_5_isomap_3,0.1506,0.6969,0.0593,2.8,299.0
scibert_average_kmeans_5_isomap_3,0.1455,0.6981,0.0595,4.4,299.1
scibert_average_kmeans_4_isomap_5,0.1435,0.6975,0.0597,9.8,300.5
scibert_average_kmeans_5_isomap_5,0.131,0.6953,0.059,7.2,301.5
scibert_average_kmeans_4_isomap_3,0.1526,0.6966,0.0594,6.1,301.8
scibert_average_kmeans_2_PCA_10,0.1282,0.6907,0.0574,7.0,302.1
scibert_average_agglomerative_5_isomap_5,0.1435,0.6941,0.0589,3.4,302.2
scibert_average_agglomerative_2_PCA_10,0.1365,0.6849,0.0568,6.2,302.9
scibert_average_kmeans_5_isomap_7,0.1516,0.6864,0.0577,7.4,303.8
scibert_max_articles,0.1444,0.7348,0.071,7.4,304.0
scibert_average_agglomerative_5_isomap_7,0.1404,0.6877,0.0574,3.1,304.1
scibert_average_agglomerative_5_isomap_2,0.1484,0.6942,0.0595,6.8,304.2
scibert_average_agglomerative_5_isomap_10,0.1418,0.6916,0.0584,4.3,305.2
scibert_average_agglomerative_2_PCA_7,0.1343,0.6959,0.0588,6.3,305.6
scibert_average_kmeans_7_isomap_10,0.1418,0.6979,0.0597,3.4,307.0
scibert_average_kmeans_5_isomap_2,0.1395,0.6999,0.06,8.4,307.1
scibert_average_kmeans_7_isomap_3,0.1597,0.6983,0.0593,2.9,307.5
scibert_average_agglomerative_7_isomap_2,0.1293,0.6923,0.0585,5.6,308.4
scibert_average_kmeans_7_isomap_2,0.1347,0.7039,0.06,4.9,309.5
scibert_average_agglomerative_7_isomap_3,0.1483,0.6924,0.0581,3.0,309.7
scibert_average_agglomerative_7_isomap_10,0.1294,0.6862,0.0578,4.2,314.1
scibert_average_agglomerative_7_isomap_5,0.137,0.6999,0.0605,3.9,314.4
scibert_average_kmeans_3_PCA_5,0.1406,0.683,0.0581,3.6,315.2
scibert_average_agglomerative_3_PCA_3,0.1525,0.6971,0.0614,3.1,315.7
scibert_average_kmeans_3_PCA_10,0.1511,0.6814,0.0574,3.5,316.0
scibert_average_kmeans_7_isomap_7,0.1408,0.6948,0.0592,3.3,316.0
scibert_average_kmeans_3_PCA_7,0.1361,0.6757,0.0556,3.6,316.5
scibert_average_kmeans_3_PCA_3,0.1534,0.69,0.0591,2.7,317.0
scibert_average_kmeans_7_isomap_5,0.1482,0.7026,0.061,3.6,317.4
scibert_average_agglomerative_3_PCA_10,0.1372,0.6809,0.0565,3.9,318.7
scibert_average_agglomerative_3_PCA_7,0.1446,0.6865,0.0579,3.7,319.0
scibert_average_agglomerative_7_isomap_7,0.1341,0.6912,0.058,3.9,320.1
scibert_average_agglomerative_4_PCA_10,0.1551,0.6939,0.0614,3.4,320.8
scibert_average_kmeans_3_PCA_2,0.1542,0.6845,0.0587,3.5,321.2
scibert_average_agglomerative_3_PCA_5,0.15,0.6851,0.0586,3.6,322.1
scibert_average_agglomerative_4_PCA_5,0.1554,0.6865,0.0602,3.3,323.5
scibert_average_kmeans_4_PCA_10,0.1312,0.6849,0.06,4.5,325.2
scibert_average_agglomerative_4_PCA_7,0.1698,0.6911,0.0613,2.7,325.3
scibert_average_agglomerative_3_PCA_2,0.1399,0.6853,0.0575,3.5,326.2
scibert_average_kmeans_7_PCA_5,0.164,0.7099,0.0669,3.6,326.3
scibert_average_kmeans_4_PCA_7,0.1542,0.6958,0.0616,3.9,326.4
scibert_average_kmeans_4_PCA_2,0.1483,0.696,0.0625,3.6,327.5
scibert_average_kmeans_5_PCA_7,0.1425,0.6994,0.0628,4.1,327.8
scibert_average_agglomerative_7_PCA_5,0.1555,0.7032,0.0661,4.5,328.8
scibert_average_kmeans_5_PCA_10,0.1551,0.7012,0.062,4.1,329.0
scibert_average_kmeans_5_PCA_5,0.1573,0.7021,0.0622,4.3,329.1
scibert_average_agglomerative_5_PCA_10,0.1556,0.7002,0.0623,4.1,329.6
scibert_average_agglomerative_4_PCA_2,0.1343,0.6914,0.0614,4.1,330.3
scibert_average_kmeans_7_PCA_2,0.1543,0.7015,0.0627,4.4,331.6
scibert_average_kmeans_5_PCA_2,0.145,0.6952,0.0618,4.7,331.9
scibert_average_agglomerative_5_PCA_2,0.1504,0.701,0.0628,4.7,332.2
scibert_average_agglomerative_4_PCA_3,0.1486,0.6999,0.0627,3.7,332.2
scibert_average_agglomerative_5_PCA_7,0.1603,0.7051,0.0646,3.5,332.5
scibert_average_kmeans_4_PCA_5,0.1411,0.6793,0.057,3.8,333.4
scibert_average_agglomerative_5_PCA_5,0.1572,0.7054,0.0642,3.6,333.7
scibert_average_agglomerative_7_PCA_10,0.1644,0.705,0.0654,4.5,334.0
scibert_average_kmeans_5_PCA_3,0.1536,0.7041,0.0628,4.2,334.2
scibert_average_kmeans_4_PCA_3,0.145,0.6938,0.0611,3.5,334.3
scibert_average_agglomerative_7_PCA_2,0.1488,0.7033,0.0633,4.9,335.3
scibert_average_kmeans_7_PCA_10,0.1674,0.7078,0.0653,3.0,336.1
scibert_average_agglomerative_5_PCA_3,0.1406,0.698,0.0623,4.3,337.1
scibert_average_kmeans_7_PCA_3,0.1558,0.7006,0.0622,4.4,338.5
scibert_average_agglomerative_7_PCA_7,0.1614,0.7069,0.0652,4.1,338.5
scibert_average_agglomerative_7_PCA_3,0.1365,0.7075,0.0642,4.4,339.0
scibert_average_kmeans_7_PCA_7,0.1746,0.7074,0.0655,4.1,341.0
random,0.0493,0.5299,0.0389,28.3292,363.647
scibert_mean,,,,,
