target_result
2/25:Apostolos Papadopoulos
5/25:Nikolaos Vasileiadis
6/25:Ioannis Vlachavas
8/25:Athina Vakali
12/25:Eleftherios Angelis
13/25 (standby):Ioannis Stamelos
"Metric1:0.45652173913043476, top_8=66.66666666666666%, Average Precision:0.463034188034188, Prize_metric:0.7703703703703704, Reciprocal Rank:2, Coverage:13"
