name,romanize name,School-Department,University,Rank,Apella_id,Scholar name,Scholar id
Χριστόφορος Κοζυράκης,Christoforos Kozyrakis, Electrical Engineering and Computer Science,Stanford University,Καθηγητής,6966,Christos Kozyrakis,G2EJz5kAAAAJ
Νεκτάριος Κοζύρης,Nektarios Kozyris,Ηλεκτρολόγων Μηχ & Μηχ Υπολογιστών,ntua,Καθηγητής,19471,Nectarios Koziris,wgwP96QAAAAJ
Χρυσή Κοκολογιαννάκη,Chrysi Kokologiannaki,Μαθηματικών,upatras,Καθηγητής,19951,Chrysi Kokologiannaki,5bM3fdIAAAAJ
Στέφανος Κόλλιας ,Stefanos Kollias ,Ηλεκτρολόγων Μηχ & Μηχ Υπολογιστών,ntua,Καθηγητής,18205,Stefanos Kollias,-h2va3cAAAAJ
Σταύρος Κολλιόπουλος,Stavros Kolliopoulos,Πληροφορικής και Τηλεπικοινωνιών,uoa,Καθηγητής,18495,Stavros Kolliopoulos,1jZJgWQAAAAJ
Βασίλειος Κόμης,Vasileios Komis,Επιστημών της Εκπαίδευσης & της Αγωγής στην Προσχολική Ηλικία,upatras,Καθηγητής,4952,Vassilis Komis,y-hRoJQAAAAJ
Λυσίμαχος-Παύλος Κόντης,Lysimachos-Pavlos Kontis,Μηχανικών Η.Υ. & Πληροφορικής,uoi,Καθηγητής,171,Lisimachos Kondi,VVz5ATwAAAAJ
Αριστείδης Κοντογεώργης,Aristeidis Kontogeorgis,Μαθηματικών,uoa,Καθηγητής,18766,Aristides Kontogeorgis,ydP9h5cAAAAJ
Κωνσταντίνος Κοντογιάννης,Konstantinos Kontogiannis,Ηλεκτρολόγων Μηχανικών & Μηχανικών Υπολογιστών,ntua,Αναπληρωτής Καθηγητής,18652,Kostas Kontogiannis,gNZOUUAAAAAJ
Δημήτριος Κουγιουμτζής,Dimitrios Kougioumtzis,Ηλεκτρολόγων Μηχ & Μηχ Υπολογιστών,auth,Καθηγητής,18580,D Kugiumtzis,SgQOqeIAAAAJ
Χρήστος Κουκουβίνος,Christos Koukouvinos,Εφαρμοσμένων Μαθηματικών & Φυσικών Επιστημών,ntua,Καθηγητής,5932,Christos Koukouvinos,XV73_qEAAAAJ
Εμμανουήλ Κουμπαράκης,Emmanouil Koumparakis,Πληροφορικής και Τηλεπικοινωννιών,uoa,Καθηγητής,9714,Manolis Koubarakis,FKy2868AAAAJ
Γεώργιος Κουρουπέτρογλου ,Georgios Kouroupetroglou ,Πληροφορικής και Τηλεπικοινωνιών,uoa,Καθηγητής,18734,Georgios Kouroupetroglou,utmrHCoAAAAJ
Κυριάκος Κουτουλάκος,Kyriakos Koutoulakos,Computer Science,University of Toronto,Καθηγητής,7124,Kyros Kutulakos,bQJWJPYAAAAJ
Ευτύχιος Κουτρούλης,Eftychios Koutroulis,Ηλεκτρολόγων Μηχανικών & Μηχανικών Υπολογιστών,tuc,Αναπληρωτής Καθηγητής,18992,Eftichis Koutroulis,qd8CMdgAAAAJ
Διον.-Δημήτριος Κουτσουρής,Dion.-Dimitrios Koutsouris,Ηλεκτρολόγων Μηχ & Μηχ Υπολογιστών,ntua,Καθηγητής,155,Dimitrios Koutsouris,tTm7CCAAAAAJ
Οδυσσέας Κουφοπαυλου ,Odysseas Koufopavlou ,Ηλεκτρολόγων Μηχ & Τεχνολογίας υπολογιστών,upass,Καθηγητής,17652,Odysseas Koufopavlou,e86zmDoAAAAJ
 Εμμανουήλ Κριεζής, Emmanouil Kriezis,Ηλεκτρολόγων Μηχ & Μηχ Υπολογιστών,auth,Καθηγητής,3707,Emmanouil Kriezis,CUb8oGIAAAAJ
Νικόλαος Κυρπίδης,Nikolaos Kyrpidis,Department of Energy ,Joint Genome Institute,Διευθυντής Ερευνών,7506,Nikos C Kyrpides,0FuZRPYAAAAJ
Ελισάβετ Κωνσταντίνου,Elisavet Konstantinou,Μηχανικών Πληροφοριακών και Επικοινωνιακών Συστημάτων,aegean,Επίκουρος Καθηγητής (Μόνιμος),5934,Elisavet Konstantinou,V5atJsEAAAAJ
Παναγιώτης Κωνσταντόπουλος,Panagiotis Konstantopoulos,Πληροφορικης,aueb,Καθηγητής,18164,Panos Constantopoulos,EAagfCoAAAAJ
Χαράλαμπος Κωνσταντόπουλος,Charalampos Konstantopoulos,Πληροφορικης,unipi,Αναπληρωτής Καθηγητής,13839,Charalampos Konstantopoulos,Q0GeDawAAAAJ
Παναγιώτης  Κωττής,Panagiotis  Kottis,Ηλεκτρολόγων Μηχ & Μηχ Υπολογιστών,ntua,Καθηγητής,4033,Unknown,Unknown
Μιχαήλ Λαγουδάκης,Michail Lagoudakis,Ηλεκτρονικών Μηχ και Μηχ Υπολογιστών,tuc,Αναπληρωτής Καθηγητής,3647,Michail G. Lagoudakis,VqHiIg8AAAAJ
Σπυρίδων-Γεράσιμος  Λάλης,Spyridon-Gerasimos  Lalis,Ηλεκτρολόγων Μηχανικών & Μηχανικών Υπολογιστών,uth,Καθηγητής,17837,Spyros Lalis,1hCQK9oAAAAJ
Ανδρέας Λανίτης,Andreas Lanitis, Multimedia and Graphic Arts,Cyprus University of Technology,Αναπληρωτής Καθηγητής,8086,Andreas Lanitis,LV7ud3IAAAAJ
 Θεόδωρος Λαόπουλος, Theodoros Laopoulos,Φυσικής,auth,Καθηγητής,17535,Theodore Laopoulos,Kb2N6d4AAAAJ
Γεώργιος Λέπουρας,Georgios Lepouras,Πληροφορικής & Τηλεπικοινωνιών,uop,Καθηγητής,18491,George Lepouras,AZ9U32YAAAAJ
Μιχαήλ  Λογοθέτης,Michail  Logothetis,Ηλεκτρολόγων Μηχ & Τεχνολογίας Υπολογιστών,upatras,Καθηγητής,8497,Michael D. Logothetis,ybBA1ZIAAAAJ
Εμμανουήλ Λουράκης,Emmanouil Lourakis,Ινστιτούτο Πληροφορικής,forth,Διευθυντής Ερευνών,18073,Manolis Lourakis,4YYxk1IAAAAJ
Μαλαματή Λούτα,Malamati Louta,Ηλεκτρολόγων Μηχανικών & Μηχανικών Υπολογιστών,uowm,Αναπληρωτής Καθηγητής,8334,Malamati Louta,5yvGyGsAAAAJ
Αριστείδης Λύκας,Aristeidis Lykas,Μηχανικών Ηλεκτρονικών Υπολογιστών  & Πληροφορικής,uoi,Καθηγητής,11212,Aristidis Likas,kb39Kx0AAAAJ
Σπυρίδων Λυκοθανάσης,Spyridon Lykothanasis,Μηχανικών Ηλεκτρονικών Υπολογιστών  & Πληροφορικής,upatras,Καθηγητής,17284,Likothanassis S.,x0Xemm8AAAAJ
Νίκος Μαγκλαβέρας,Nikos Magklaveras,Ιατρική,auth,Καθηγητής,18291,"Nicos Maglaveras, FEAMBES",2CCz8x0AAAAJ
Εμμανουήλ Μάγκος,Emmanouil Magkos,Πληροφορικής,ionio,Αναπληρωτής Καθηγητής,17022,Emmanouil (Manos) Magkos,qy_LFbsAAAAJ
Γεώργιος Μακράκης,Georgios Makrakis,Μαθηματικών & Εφαρμοσμένων Μαθηματικών,uoc,Καθηγητής,17699,George N. Makrakis,0uErzsEAAAAJ
Γεώργιος Μακρής,Georgios Makris,Electrical Engineering,University of Texas at Dallas,Καθηγητής,9069,Yiorgos Makris,dUO4lKwAAAAJ
Νικόλαος Μαλεύρης,Nikolaos Malevris,Πληροφορικής,aueb,Καθηγητής,144,N. Malevris,PJ748-EAAAAJ
Νικόλαος Μαμουλής,Nikolaos Mamoulis,Μηχ Ηλεκτρονικών Υπολογιστών & Πληροφορικής,uoi, Καθηγητής,18640,Nikos Mamoulis,jOvUDjYAAAAJ
Αικατερίνη Μανιά,Aikaterini Mania,Ηλεκτρονικών Μηχ και Μηχ Υπολογιστών,tuc,Αναπληρωτής Καθηγητής,10330,Katerina Mania,fq9RjXsAAAAJ
Ιωάννης Μανουσάκης,Ioannis Manousakis,Computer Science,"LRI, University Paris South, Orsay",Καθηγητής,11102,Ioannis Manousakis,5rA-dYcAAAAJ
Ηλίας Μανωλάκος,Ilias Manolakos,Πληροφορικής & Τηλεπικοινωνιών,uoa,Καθηγητής,17276,Elias S. Manolakos,fO1mhBoAAAAJ
Πέτρος Μαραγκός,Petros Maragkos,Ηλεκτρολόγων Μηχανικών & Μηχανικών Υπολογιστών,ntua,Καθηγητής,10326,Petros Maragos,A2XydgGCY9gC
Εμμανουήλ Μαραγκουδάκης,Emmanouil Maragkoudakis,Πληροφορικής,ionio,Καθηγητής,19548,Manolis Maragoudakis,MYXXMRIAAAAJ
Κωνσταντίνος Μαργαρίτης,Konstantinos Margaritis,Εφαρμοσμένης Πληροφορικής,uom,Καθηγητής,6934,Konstantinos G. Margaritis,YAzF48oAAAAJ
Κωνσταντίνος Μαρκαντωνάκης,Konstantinos Markantonakis,Information Security Group,"Royal Holloway, University of London", Καθηγητής,3716,Konstantinos Markantonakis,NygekFcAAAAJ
Ευάγγελος Μαρκάτος,Evangelos Markatos,Επιστήμης Υπολογιστών,uoc,Καθηγητής,4137,Evangelos Markatos,Wk7e-kIAAAAJ
Κωνσταντίνος Μασσέλος,Konstantinos Masselos,Πληροφορικής και Τηλεπικοινωνιών,uop,Καθηγητής,3560,Konstantinos Masselos,aJt79fYAAAAJ
Ιωάννης Μαυρίδης,Ioannis Mavridis,Εφαρμοσμένης Πληροφορικής,uom,Καθηγητής,3176,Ioannis Mavridis,l2FvCz8AAAAJ
Μάριος Μαυρονικόλας,Marios Mavronikolas, Πληροφορικής,University of Cyprus,Καθηγητής,1892,Marios Mavronicolas,PAACT74AAAAJ
Βασίλειος Μεγαλοοικονόμου,Vasileios Megalooikonomou,Μηχανικών Ηλεκτρονικών Υπολογιστών και Πληροφορικής,upatras,Καθηγητής,7710,Vasileios Megalooikonomou,toMnRo0AAAAJ
Λάζαρος  Μεράκος,Lazaros  Merakos,Πληροφορικής & Τηλεπικοινωνιών,uoa,Καθηγητής,18649,Lazaros Merakos,H5xlwE4AAAAJ
Παναγιώτης Μεταξάς,Panagiotis Metaxas, Computer Science,Wellesley College,Professor,419,"Panagiotis ""Takis"" Metaxas",7tc03WEAAAAJ
Ευάγγελος Μήλιος,Evangelos Milios, Computer Science,Dalhousie University,Καθηγητής,2289,Evangelos Milios,ME8aQywAAAAJ
Περικλής Μήτκας,Periklis Mitkas,Ηλεκτρολόγων Μηχ & Μηχ Υπολογιστών,auth,Καθηγητής,7874,Pericles A. Mitkas,t58rc8QAAAAJ
Αναστάσιος Μικρόπουλος,Anastasios Mikropoulos,Παιδαγωγικό Δημοτικής Εκπαίδευσης,uoi,Καθηγητής,9865,Tassos Anastasios Mikropoulos,3ZaLmnkAAAAJ
Ανδρέας Μνιέστρης ,Andreas Mniestris ,Μουσικών Σπουδών,ionio,Αναπληρωτής Καθηγητής,3752,Unknown,Unknown
Παναγιώτα Μορφούλη,Panagiota Morfouli,school of Engineering and Management,Institut Polytechnique de Grenoble,Καθηγητής,5054,Unknown,Unknown
Κυριάκος Μουρατίδης,Kyriakos Mouratidis,Επιστήμης Υπολογιστών,Singapore Management University,Αναπληρωτής Καθηγητής,7843,Kyriakos Mouratidis,vq5oTnEAAAAJ
Χαράλαμπος Μουρατίδης,Charalampos Mouratidis,"School of Computing, Engineering and Mathematics",University of Brighton,Καθηγητής,1072,Haralambos Mouratidis,sw7Y1IAAAAAJ
Κωνσταντίνος Μουρλάς,Konstantinos Mourlas,Επικοινωνίας & Μέσων Μαζικής Ενημέρωσης,uoa,Αναπληρωτής Καθηγητής,19426,Constantinos Mourlas,dpp4-kkAAAAJ
Ιωάννης Μουρτζόπουλος,Ioannis Mourtzopoulos,Ηλεκτρολόγων Μηχανικών & Τεχνολογίας Υπολογιστών,upatras,Καθηγητής,18243,John Mourjopoulos,CitiWhkAAAAJ
Κωνσταντίνος Μουστάκας,Konstantinos Moustakas,Ηλεκτρολόγων Μηχανικών & Τεχνολογίας Υπολογιστών,upatras,Αναπληρωτής Καθηγητής,18850,Konstantinos Moustakas,E361geAAAAAJ
Γεώργιος  Μουστακίδης,Georgios  Moustakidis,Ηλεκτρολόγων Μηχ. & Τεχνολογίας Υπολογιστών,upatras,Καθηγητής,9762,George V. Moustakides,O5YDyjoAAAAJ
Αθανάσιος Μουχτάρης,Athanasios Mouchtaris,Επιστήμης Υπολογιστών,uoc,Αναπληρωτής Καθηγητής,19537,Athanasios Mouchtaris,CMNg4XUAAAAJ
Παντελής Μπάγκος,Pantelis Bagkos,Πληροφορικής με Εφαρμογές στη Βιοϊατρική ,uth,Καθηγητής,18109,Pantelis Bagos,k3osijsAAAAJ
Στυλιανός Μπακαμίδης,Stylianos Bakamidis,Ινστιτούτο Επεξεργασίας του Λόγου,Ε.Κ. Αθηνά,Διευθυντής Ερευνών,17848,Unknown,Unknown
 Κωνσταντίνος Μπάλας, Konstantinos Balas,Ηλεκτρονικών Μηχ και Μηχ Υπολογιστών,tuc,Καθηγητής,19456,Costas Balas,NkVkf9QAAAAJ
Ευριπίδης Μπάμπης,Evripidis Bampis,Computer Science,"Sorbonne Universités, Université Pierre et Marie Curie (Paris 6)",Καθηγητής,1861,Evripidis Bampis,EWSHV58AAAAJ
Γεράσιμος Μπαρμπάτης,Gerasimos Barmpatis,Μαθηματικών,uoa,Καθηγητής,6742,Gerassimos Barbatis,RPgXKw8AAAAJ
Νικόλαος Μπέλλας ,Nikolaos Bellas ,Ηλεκτρολόγων Μηχανικών και Μηχανικών Υπολογιστών,uth, Καθηγητής,9811,Nikolaos Bellas,vHo4xHoAAAAJ
Παναγιώτης Μπένος,Panagiotis Benos,Computational and Systems Biology,University of Pittsburgh,Καθηγητής,1128,Panayiotis (Takis) Benos,B5NDW0EAAAAJ
Κων/νος Μπερμπερίδης,Kon/nos Bermperidis,Μηχανικών Ηλεκτρονικών Υπολογιστών και Πληροφορικής,upatras,Καθηγητής,9995,K Berberidis,oxBjm0IAAAAJ
Αντώνιος Μπικάκης,Antonios Bikakis, Information Studies,University College London,Αναπληρωτής Καθηγητής,5450,Antonis Bikakis,KBQAiW4AAAAJ
Άγγελος Μπίλας,Angelos Bilas,Επιστήμης Υπολογιστών,uoc,Καθηγητής,18041,Angelos Bilas,JZDNQaMAAAAJ
Αλέξιος Μπίρμπας,Alexios Birmpas,Ηλεκτρ. Μηχ. και τεχν. Η/Υ,Παν/μιο Πατρών,Καθηγητής,19404,Alexios Birbas,kCHXN28AAAAJ
Κωνσταντίνος Μπλέκας,Konstantinos Blekas,Μηχανικών Ηλεκτρονικών Υπολογιστών και Πληροφορικής,uoi,Αναπληρωτής Καθηγητής,8741,Konstantinos Blekas,dgH4XJkAAAAJ
Σπυρίδων Μπλιώνας,Spyridon Blionas,Πληροφορικής & Τηλεπικοινωνιών,uop,Αναπληρωτής Καθηγητής,11178,Blionas,eGFLu38AAAAJ
Αντώνιος Μπόγρης,Antonios Bogris,Μηχανικών Πληροφορικής και Υπολογιστών Πανεπιστήμιο Δυτικής Αττικής  (Μηχανικών Πληροφορικής Τ.Ε.),uniwa,Καθηγητής,18905,Adonis Bogris,3lXJLxwAAAAJ
Χρήστος Μπούρας ,Christos Bouras ,Μηχανικών Ηλεκτρονικών Υπολογιστών και Πληροφορικής,upatras,Καθηγητής,9829,Christos J. Bouras,p7sg-GwAAAAJ
Νικόλαος Μπουρμπάκης,Nikolaos Bourmpakis,Informatics and Technology,Wright State University,Καθηγητής,2334,Unknown,Unknown
Ιωάννης Μπούταλης,Ioannis Boutalis,Ηλεκτρολόγων Μηχανικών & Μηχανικών Η/Υ,duth,Καθηγητής,19667,Yiannis Boutalis,DtG4Y5MAAAAJ
Ματτίας Μπούχερ,Mattias Boucher,Ηλεκτρονικών Μηχανικών & Μηχανικών Υπολογιστών,tuc,Αναπληρωτής Καθηγητής,6511,Matthias Bucher,zgJbCb0AAAAJ
Παύλος Μωραϊτης,Pavlos Moraitis,Mathematics and Computer Science,Paris Descartes University/Laboratory of Informatics Paris Descartes (LIPADE),Καθηγητής,3395,Unknown,Unknown
Κωνσταντίνα Νικήτα,Konstantina Nikita,Ηλεκτρολόγων Μηχανικών και Μηχανικών Υπολογιστών,ntua,Καθηγητής,10889,Konstantina Nikita,4t9gJcUAAAAJ
Μαρία Νικολαϊδη,Maria Nikolaidi,Πληροφορικής και Τηλεματικής,hua,Καθηγητής,19523,Maria Nikolaidi,0O0Nu2cAAAAJ
 Σπυρίδων Νικολαϊδης, Spyridon Nikolaidis,Φυσικής,auth,Καθηγητής,18160,Spyridon Nikolaidis,CeK-UugAAAAJ
Ιωάννης Νικολαϊδης,Ioannis Nikolaidis,Computing Science,University of Alberta,Professor,7285,Ioanis Nikolaidis,GXSdAk0AAAAJ
Σωτήριος Νικολετσέας,Sotirios Nikoletseas,Μηχ. Η/Υ & Πληροφορικής,upatras,Καθηγητής,19750,Sotiris Nikoletseas,hk2ylNwAAAAJ
Δημήτριος Νικολόπουλος,Dimitrios Nikolopoulos,"School of Electronics, Electrical Engineering and Computer Science",Virginia Polytechnic Inst.and State Univ.,Καθηγητής,9012,Dimitrios S. Nikolopoulos,PkCuYUQAAAAJ
Χρήστος Νικολόπουλος,Christos Nikolopoulos,Μαθηματικών,aegean,Αναπληρωτής Καθηγητής,6112,Christos V. Nikolopoulos,TJKJTewAAAAJ
Σταύρος Νικολόπουλος,Stavros Nikolopoulos,Μηχ. Η/Υ & Πληροφορικής,uoi,Καθηγητής,8631,Stavros D. Nikolopoulos,Uk8Tkt0AAAAJ
 Δημήτριος Νικολός, Dimitrios Nikolos,Μηχ. Η/Υ & Πληροφορικής,upatras,Καθηγητής,18928,Dimitris Nikolos,kndWOCIAAAAJ
Χριστόφορος Νίκου,Christoforos Nikou,Μηχανικών Ηλεκτρονικών Υπολογιστών & Πληροφορικής,uoi, Καθηγητής,1690,Christophoros Nikou,LOHLQrMAAAAJ
Αθανάσιος Νταραντούμης,Athanasios Ntarantoumis,Πολιτισμικής Τεχνολογίας και Επικοινωνίας,aegean, Καθηγητής,18062,Thanasis Daradoumis,5oD0RKcAAAAJ
Αναστάσιος Ντελόπουλος,Anastasios Ntelopoulos,Ηλεκτρολόγων Μηχ & Μηχ Υπολογιστών,auth,Καθηγητής,18211,Anastasios Delopoulos,yBp_7EEAAAAJ
Ειρήνη Ντούτση,Eirini Ntoutsi,Faculty of Electrical Engineering and Computer Science,"Leibniz University Hannover, Germany",Αναπληρωτής καθηγητής,27772,Eirini Ntoutsi,RdA9uxYAAAAJ
Θωμάς Ξένος,Thomas Xenos,Ηλεκτρολόγων Μηχ & Μηχ Υπολογιστών,auth,Καθηγητής,9959,Thomas Xenos,NFCJxPMAAAAJ
Κώστας Ξυδέας,Kostas Xydeas,Electrical Engineering,Lancaster University,Professor,10238,C.Xydeas,ntIPBqMAAAAJ
Στυλιανός Ξυνόγαλος,Stylianos Xynogalos,Εφαρμοσμένης Πληροφορικής,uom,Αναπληρωτής Καθηγητής,23170,Stelios Xinogalos,TquBXjAAAAAJ
Αναστάσιος  Οικονομίδης,Anastasios  Oikonomidis,Οικονομικών Επιστημών,uom,Καθηγητής,19652,Anastasios A. Economides,1AAOD6YAAAAJ
Γεώργιος Οικονόμου,Georgios Oikonomou,Φυσικής,upatras,Καθηγητής,18334,George Economou,j9XzkygAAAAJ
Πολυξένη Παγγέ - Λέκκα,Polyxeni Pange - Lekka,Παιδαγωγικό Νηπιαγωγών,uoi,Καθηγητής,9339,Jenny Pagge Pange,FMxD7AMAAAAJ
Αριστείδης Παγουρτζής,Aristeidis Pagourtzis,Ηλεκτρολόγων Μηχανικών και Μηχανικών Υπολογιστών,ntua,Καθηγητής,11423,Aris Pagourtzis,xh1BcAwAAAAJ
Λεωνίδας Παληός,Leonidas Palios,Μηχ. Η/Υ & Πληροφορικής,uoi,Καθηγητής,10841,Leonidas Palios,fk4I4B8AAAAJ
Γεώργιος Παλιούρας,Georgios Paliouras,Ιντστιτούτο Πληροφορικής και Τηλεπικοινωνιών,demokritos,Διευθυντής Ερευνών,17659,Georgios Paliouras,-pec7wIAAAAJ
Γιώργος Πάλλης,Giorgos Pallis,Πληροφορικής,University of Cyprus,Αναπληρωτής Καθηγητής,21434,George Pallis,kNkLOHcAAAAJ
Χρήστος Παναγιωτακόπουλος,Christos Panagiotakopoulos,Επιστημών της Εκπαίδευσης & Κοινωνικής Εργασίας,upatras,Καθηγητής,5858,Christos T. Panagiotakopoulos,v11QHGsAAAAJ
Θεμιστοκλής Παναγιωτόπουλος,Themistoklis Panagiotopoulos,Πληροφορικής,unipi,Καθηγητής,2296,Unknown,Unknown
Δημήτριος  Πάντος,Dimitrios  Pantos,Electrical Engineering,State University of New York at Buffalo,Professor,4330,Dimitris A Pados,tczyXJUAAAAJ
Γεώργιος Παπαγιαννάκης,Georgios Papagiannakis,Επιστήμης Υπολογιστών,uoc,Αναπληρωτής Καθηγητής,1020,George Papagiannakis,rUfyI3MAAAAJ
Γεωργιος Άγγελος Παπαδόπουλος,Georgios Angelos Papadopoulos,Computer Science,University of Cyprus,Καθηγητής,1261,George Α. Papadopoulos,UvQERXUAAAAJ
Γιάννης Παπαδόπουλος,Giannis Papadopoulos,Computer Science,University of Hull,Καθηγητής,720,Yiannis Papadopoulos,GpwIX-QAAAAJ
Γεώργιος Παπαϊωάννου,Georgios Papaioannou,Πληροφορικής,aueb,Αναπληρωτής Καθηγητής,8098,Georgios Papaioannou,aZVSd0QAAAAJ
Γιάννης Παπακωνσταντίνου,Giannis Papakonstantinou,Computer Science and Engineering ,"University of California, San Diego",Καθηγητής,9165,Yannis Papakonstantinou,81cvn3sAAAAJ
Νικόλαος Παπαμάρκος,Nikolaos Papamarkos,Ηλεκτρολόγων Μηχ & Μηχ Υπολογιστών,duth,Καθηγητής,18596,Nikos Papamarkos,E8a90xYAAAAJ
Ιωάννης Παπανάνος,Ioannis Papananos,Ηλεκτρολόγων Μηχ. & Μηχ. Υπολογιστών,ntua,Καθηγητής,17725,Unknown,Unknown
Ευάγγελος Παπαπέτρου,Evangelos Papapetrou,Μηχανικών Η/Υ & Πληροφορικής,uoi,Επίκουρος Καθηγητής (Μόνιμος),5478,Evangelos Papapetrou,R6Ldg5UAAAAJ
Ανδρέας Παπασαλούρος,Andreas Papasalouros,Μαθηματικών,aegean,Επίκουρος Καθηγητής (Μόνιμος),10471,Andreas Papasalouros,Lv-cQa8AAAAJ
Νικόλαος Παπασπύρου,Nikolaos Papaspyrou,Ηλεκτρολόγων Μηχ. & Μηχ. Υπολογιστών,ntua,Καθηγητής,17609,Nikolaos Papaspyrou,sB4E4lcAAAAJ
Αθανάσιος Παπίστας,Athanasios Papistas,Μαθηματικών,auth,Καθηγητής,19312,Unknown,Unknown
Νικόλαος Παραγυιός,Nikolaos Paragyios,Applied Mathematics,Ecole Centrale de Paris,Καθηγητής,5426,Nikos Paragios,7edhlaQAAAAJ
Φωτεινή Παρασκευά,Foteini Paraskeva,Ψηφιακών Συστημάτων,unipi,Καθηγητής,5159,Foteini Paraskeva (Fotini),IeaP7wIAAAAJ
 Αντώνιος Πασχάλης, Antonios Paschalis,Πληροφοριοκής και Τηλεπικοινωνιών,uoa,Καθηγητής,2249,Antonis Paschalis,q8LRbY4AAAAJ
Βαγγέλης Πάσχος,Vangelis Paschos,Computer Science,University Paris-Dauphine,Καθηγητής,7485,Vangelis Paschos,dCUE-DUAAAAJ
Κωνσταντίνος Παττίχης,Konstantinos Pattichis, Computer Science,University of Cyprus,Καθηγητής,5314,Constantinos S. Pattichis,XPzbiZUAAAAJ
Γεώργιος Παυλίδης,Georgios Pavlidis,Μηχ. Η/Υ & Πληροφορικής,upatras,Καθηγητής,1164,Unknown,Unknown
Νίκος Παυλίδης,Nikos Pavlidis,Management Science,Lancaster University,Αναπληρωτής καθηγητής,27390,Nicos Pavlidis,WyUGbdkAAAAJ
Φωτεινή - Νιόβη Παυλίδου ,Foteini - Niovi Pavlidou ,Ηλεκτρολόγων Μηχ & Μηχ Υπολογιστών,auth,Καθηγητής,10392,Unknown,Unknown
Γεώργιος Παύλου,Georgios Pavlou, Electronic and Electrical Engineering,University College London,Καθηγητής,11268,George Pavlou,OuIZM_0AAAAJ
Κιαμάλ Πεκμεστζή,Kiamal Pekmestzi,Ηλεκτρονικών Μηχ και Μηχ Υπολογιστών,ntua,Καθηγητής,2013,Kiamal Pekmestzi,MVkryn8AAAAJ
 Νικόλαος Πελεκάνος, Nikolaos Pelekanos,Επιστήμηης και Τεχνολογίας Υλικών,uoc,Καθηγητής,7389,Nikos Pelekanos,Uj9w0jUAAAAJ
Νικόλαος Πελέκης,Nikolaos Pelekis,Στατιστικής και Ασφαλιστικής Επιστήμης,unipi,Αναπληρωτής Καθηγητής,23417,Nikos Pelekis,iphQ2EkAAAAJ
Παύλος Πέππας,Pavlos Peppas,Ηλεκτρολόγων Μηχανικών & Τεχνολογίας Υπολογιστών,upatras,Καθηγητής,19540,Pavlos Peppas,44G4locAAAAJ
Σταύρος Περαντώνης,Stavros Perantonis,Ινστιτούτο Πληροφορικής και Τηλεπικοινωνιών,demokritos,Διευθυντής Ερευνών,17487,Stavros Perantonis,y3fDadgAAAAJ
Ευρυπίδης Πετράκης,Evrypidis Petrakis,Ηλεκτρονικών Μηχανικών & Μηχανικών Υπολογιστών,tuc,Καθηγητής,3599,Euripides G.M. Petrakis,avH0gk4AAAAJ
Μιλτιάδης Πετρίδης,Miltiadis Petridis,School of Computing Engineering and Mathematics,Unibersity of Brighton,Καθηγητής,4100,Miltos Petridis,OYxJzq0AAAAJ
Ευαγγελία Πιτουρά,Evangelia Pitoura,Μηχανικών Ηλεκτρονικών Υπολογιστών και Πληροφορικής,uoi,Καθηγητής,4652,Evaggelia Pitoura,3r_xVvkAAAAJ
Ανδρέας Πιτσιλλίδης,Andreas Pitsillidis, Computer Science,University of Cyprus,Καθηγητής,11513,Andreas Pitsillides,-yeSOEwAAAAJ
Δημήτριος Πλεξουσάκης,Dimitrios Plexousakis,Έπιστήμης Υπολογιστών,uoc,Καθηγητής,2191,Dimitris Plexousakis,oY_DnEoAAAAJ
Διονύσιος Πνευματικάτος ,Dionysios Pnevmatikatos ,Ηλεκτρολόγων Μηχανικών και Μηχανικών Υπολογιστών,ntua,Καθηγητής,18599,Dionisios Pnevmatikatos,TKtxe-UAAAAJ
Χρήστος Πολίτης,Christos Politis,"Faculty of Science, Engineering and Computing",Kingston University London,Καθηγητής,1786,Christos Politis,-U99zuEAAAAJ
Γεώργιος  Πολύζος,Georgios  Polyzos,Πληροφορικής,aueb,Καθηγητής,8037,George C. Polyzos,y-Mxxa0AAAAJ
Νεοκλής Πολυζώτης,Neoklis Polyzotis,Επιστήμης Υπολογιστών,University of California Santa Cruz,Καθηγητής,5718,Neoklis Polyzotis,vfIriy4AAAAJ
Αλέξανδρος Ποταμιάνος,Alexandros Potamianos,Ηλεκτρολόγων Μηχανικών και Μηχανικών Υπολογιστών,ntua,Αναπληρωτής Καθηγητής,3760,Alexandros Potamianos,pBQViyUAAAAJ
Γεράσιμος Ποταμιάνος,Gerasimos Potamianos,Ηλεκτρολόγων Μηχανικών και Μηχανικών Υπολογιστών,uth,Αναπληρωτής Καθηγητής,8779,Gerasimos Potamianos,DjcaM1MAAAAJ
Δημήτριος Πουλάκης,Dimitrios Poulakis,Μαθηματικών,auth,Καθηγητής,19745,Unknown,Unknown
Ιωάννης Πρατικάκης,Ioannis Pratikakis,Ηλεκτρολόγων Μηχανικών και Μηχανικών Υπολογιστών,duth,Καθηγητής,17933,Ioannis Pratikakis,lCVokogAAAAJ
Ανδριάνα Πρέντζα,Andriana Prentza,Ψηφιακών Συστημάτων,unipi,Καθηγητής,6222,Unknown,Unknown
Κωνσταντίνος Ραυτόπουλος,Konstantinos Raftopoulos,,Conservatoire National des Arts et Métiers (CNAM),Κύριος Ερευνητής,2262,Unknown,Unknown
