name,romanize name,School-Department,University,Rank,Apella_id,Scholar name,Scholar id
Μιλτιάδης  Αναγνώστου,Miltiadis  Anagnostou,Ηλεκτρολόγων Μηχ & Μηχ Υπολογιστών,ntua,Καθηγητής,19482,Miltiades E. Anagnostou,pvThzK0AAAAJ
Βασίλειος Αναστασόπουλος,Vasileios Anastasopoulos,Φυσικής,upatras,Καθηγητής,17596,Vassilis Anastassopoulos,BycshrUAAAAJ
Ιωάννης Ανδρεάδης ,Ioannis Andreadis ,Ηλεκτρολόγων Μηχ & Μηχ Υπολογιστών,duth,Καθηγητής,6006,Ioannis Andreadis,3wMEVMMAAAAJ
Ανδρέας Ανδρέου,Andreas Andreou,Τμήμα Ηλεκτρολόγων Μηχανικών και Τεχνολογιών Πληροφορικής,cut, Καθηγητής,9921,Andreas Andreou,CqlJG_IAAAAJ
Μαργκερίτα Αντόνα,Margkerita Antona,Ινστιτούτο Πληροφορικής,forth,Κύριος Ερευνητής,19203,Margherita Antona,BSrpFJgAAAAJ
Ιωάννης Αντωνίου,Ioannis Antoniou,Μαθηματικών,auth,Καθηγητής,7651,Ioannis E. Antoniou,UMPx3MAAAAAJ
Χρήστος Αντωνόπουλος,Christos Antonopoulos,Ηλεκτρολόγων Μηχανικών & Μηχανικών Υπολογιστών,auth,Καθηγητής,18399,Unknown,Unknown
Θεόδωρος  Αποστολόπουλος,Theodoros  Apostolopoulos,Πληροφορικής,aueb,Καθηγητής,19284,Theodore Apostolopoulos,WTg8mXoAAAAJ
Αντώνιος Αργυρός ,Antonios Argyros ,Επιστήμης Υπολογιστών,uoc,Καθηγητής,18605,Antonis Argyros,9OieklkAAAAJ
Δημήτριος Αχλιόπτας,Dimitrios Achlioptas,Πληροφορικής και Επικοινωνιών,uoa,Καθηγητής,19967,Dimitris Achlioptas,GBQ6w8IAAAAJ
Μιχαήλ Βαζιργιάννης,Michail Vazirgiannis,Πληροφορικής,aueb,Καθηγητής,3631,Michalis Vazirgiannis,aWGJYcMAAAAJ
Εμμανουήλ  Βαρβαρίγος,Emmanouil  Varvarigos,Ηλεκτρολόγων Μηχανικών & Μηχανικών Υπολογιστών,ntua,Καθηγητής,19579,Emmanouel (Manos) Varvarigos,vqtH65oAAAAJ
Θεοδώρα Βαρβαρίγου,Theodora Varvarigou,Σχολή Ηλεκτρολόγων Μηχ. & Μηχ . Υπολογιστών,ntua,Καθηγητής,1699,Theodora Varvarigou,kueSeb4AAAAJ
Ηρακλής Βαρλάμης,Iraklis Varlamis,Πληροφορικής &Τηλεματικής,hua,Αναπληρωτής Καθηγητής,21827,Iraklis Varlamis,SUyTkTAAAAAJ
Δημήτριος Βάρσος,Dimitrios Varsos,Μαθηματικών,uoa,Καθηγητής,4679,Unknown,Unknown
Μιχαήλ Βασιλακόπουλος,Michail Vasilakopoulos,Ηλεκτρολόγων Μηχανικών & Μηχανικών Υπολογιστών,uth,Αναπληρωτής Καθηγητής,19189,Michael Vassilakopoulos,A1mijQ8AAAAJ
Γεώργιος Βασιλακόπουλος,Georgios Vasilakopoulos,Ψηφιακών Συστημάτων,unipi,Καθηγητής,6676,George Vassilacopoulos,q8_VODcAAAAJ
Παναγιώτης Βασιλειάδης,Panagiotis Vasileiadis,Μηχ Ηλεκτρονικών Υπολογιστών και Πληροφορικής,uoi,Καθηγητής,10082,Panos Vassiliadis,B_Zd1P8AAAAJ
Βασίλειος Βασσάλος,Vasileios Vassalos,Πληροφορικής,aueb,Καθηγητής,19804,Vasilis Vassalos,oaM-d7QAAAAJ
Ανδρέας Βενέρης,Andreas Veneris,ECE ,"University of Toronto, Canada",Καθηγητής,7637,Andreas Veneris,ItQhxCkAAAAJ
Ιάκωβος  Βενιέρης,Iakovos  Venieris,Ηλεκτρολόγων Μηχ & Μηχ Υπολογιστών,ntua,Καθηγητής,18531,Iakovos S. Venieris,Q0ylKvEAAAAJ
Δημητριος  Βέργαδος,Dimitrios  Vergados,Πληροφορικής ,unipi, Καθηγητής,4514,Dimitrios D. Vergados,bP0fRIEAAAAJ
Χαρίδημος  Βέργος,Charidimos  Vergos,Μηχ. Η/Υ & Πληροφορικής ,upatras,Καθηγητής,18796,Haridimos T. Vergos,dYOrcUIAAAAJ
Βασίλειος Βερύκιος,Vasileios Verykios,θετικών Επιστημων και Τεχνολογίας,eap,Καθηγητής,17293,Vassilios Verykios,Md2HV1cAAAAJ
Μαρία  Βίρβου,Maria  Virvou,Πληροφορικής,unipi,Καθηγητής,8347,Maria Virvou,Ce6s_FoAAAAJ
Θεόδωρος Βλάχος,Theodoros Vlachos,Τεχνών Ήχου και Εικόνας,ionio,Αναπληρωτής Καθηγητής,988,Unknown,Unknown
Κυριάκος Βλάχος,Kyriakos Vlachos,Μηχανικών Ηλεκτρονικών Υπολογιστών & Πληροφορικής,upatras,Αναπληρωτής Καθηγητής,17723,Kyriakos Vlachos,dwzqmcQAAAAJ
Σπυρίδων Βοσινάκης,Spyridon Vosinakis,Μηχανικών Σχεδίασης Προϊόντων και Συστημάτων,aegean,Αναπληρωτής Καθηγητής,4839,Spyros Vosinakis,KjA46lQAAAAJ
Δημοσθενης Βουγιουκας ,Dimosthenis Vougioukas ,Μηχανικων  Πληροφοριακων Και Επικοινωνιακων Συστηματων,aegean,Καθηγητής,19519,Demosthenes Vouyioukas,iYvovHEAAAAJ
Γεώργιος Βούρος,Georgios Vouros,Ψηφιακών Συστημάτων,unipi,Καθηγητής,9884,George Vouros,PBX9aQUAAAAJ
Μιχαήλ Βραχάτης,Michail Vrachatis,Μαθηματικών,upatras,Καθηγητής,17224,Michael N. Vrahatis   (Greek: Μιχαήλ Ν. Βραχάτης),3mQhqcsAAAAJ
Δαμιανός Γαβαλάς,Damianos Gavalas,Μηχανικών Σχεδίασης Προϊόντων και Συστημάτων,aegean,Καθηγητής,6964,Damianos Gavalas,8kYj-SsAAAAJ
Ευστράτιος Γαλλόπουλος,Efstratios Gallopoulos,Μηχανικών Η/Υ & Πληροφορικής,upatras,Καθηγητής,1041,Efstratios Gallopoulos,WhMzaJwAAAAJ
Θεόδουλος Γαρεφαλάκης,Theodoulos Garefalakis,Μαθηματικών & Εφαρμοσμένων Μαθηματικών,uoc,Καθηγητής,19418,Theo Garefalakis,O5CqgoUAAAAJ
Ιωάννης Γαροφαλάκης,Ioannis Garofalakis,Μηχανικών Ηλεκτρονικών Υπολογιστών & Πληροφορικής,upatras,Καθηγητής,9360,John Garofalakis,Lu6f_-wAAAAJ
Μίνως Γαροφαλάκης,Minos Garofalakis,Ηλεκτρονικών Μηχ και Μηχ Υπολογιστών,tuc,Καθηγητής,3674,Minos Garofalakis,WemX9rAAAAAJ
Αντώνιος Γαστεράτος,Antonios Gasteratos,Μηχανικών Παραγωγής και  Διοίκησης,duth,Καθηγητής,1794,Antonios Gasteratos,ZzxSO8QAAAAJ
Τασούλα Γεωργάκη,Tasoula Georgaki,Μουσικών Σπουδών,uoa, Καθηγητής,18329,anastasia Georgaki,1Q9pOAIAAAAJ
Γιώργος Γεωργακόπουλος,Giorgos Georgakopoulos,Επιστήμης Υπολογιστών,uoc,Αναπληρωτής Καθηγητής,7075,George Georgakopoulos,AkCowUsAAAAJ
Λεωνίδας Γεωργιάδης,Leonidas Georgiadis,Ηλεκτρολόγων Μηχ & Μηχ Υπολογιστών ,auth,Καθηγητής,6050,Leonidas Georgiadis,GjFfiVwAAAAJ
Νικόλαος Γεωργουλάς ,Nikolaos Georgoulas ,Ηλεκτρολόγων Μηχανικών και Μηχανικών Υπολογιστών,duth,Καθηγητής,2974,Nikolaos Georgoulas,tqxUr4oAAAAJ
Εμμανουήλ Γιακουμάκης,Emmanouil Giakoumakis,Επιστημών και Τεχνολογίας της Πληροφορίας,aueb,Καθηγητής,8268,Emm. Giakoumakis,cvgdUCUAAAAJ
Αθανάσιος Γιαννακόπουλος,Athanasios Giannakopoulos,Στατιστικής,aueb,Καθηγητής,17551,A.N.Yannacopoulos,Goa2auQAAAAJ
Τραιανός Γιούλτσης,Traianos Gioultsis,Ηλεκτρολόγων Μηχ & Μηχ Υπολογιστών,auth,Καθηγητής,18133,Traianos Yioultsis,PvzNtsQAAAAJ
Δημήτριος Γκιζόπουλος,Dimitrios Gkizopoulos,Πληροφορικής και Τηλεπικοινωνιών,uoa,Καθηγητής,18398,Dimitris Gizopoulos,8V03GF4AAAAJ
Δρόσος Γκιντίδης,Drosos Gkintidis,Εφαρμοσμένων Μαθηματικών & Φυσικών Επιστημών,ntua,Καθηγητής,17630,Drossos Gintides,iThPi7sAAAAJ
Δημήτριος Γκρίτζαλης,Dimitrios Gkritzalis,Πληροφορικής,aueb,Καθηγητής,8292,Dimitris A. Gritzalis,5hIalXgAAAAJ
Στέφανος Γκρίτζαλης,Stefanos Gkritzalis,Ψηφιακών Συστημάτων,unipi,Καθηγητής,18870,Stefanos Gritzalis,VCU5CYYAAAAJ
Γεώργιος-Όθων Γλεντής,Georgios-Othon Glentis,Πληροφορικής και Τηλεπικοινωνιών,uop,Καθηγητής,9433,George Glentis,xPq5hU0AAAAJ
Δημητριος  Γουνόπουλος,Dimitrios  Gounopoulos,Πληροφορικής και Τηλεπικοινωνιών,uoa,Καθηγητής,6445,Dimitrios Gunopulos,PHJokEQAAAAJ
Νικόλαος Γραμμαλίδης,Nikolaos Grammalidis,Ινστιτούτο Τεχνολογιών Πληροφορικής και Επικοινωνιών,certh,Κύριος Ερευνητής,19358,Nikos Grammalidis,PIKpPjoAAAAJ
Θεόδωρος Δαλαμάγκας,Theodoros Dalamagkas,Ινστιτούτο Πληροφοριακών Συστημάτων,athena-innovation,Διευθυντής Ερευνών,17708,Theodore Dalamagas,WJOLNAYAAAAJ
Κώστας Δανιηλίδης,Kostas Daniilidis, Computer and Information Science ,University of Pennsylvania,Καθηγητής,4678,Kostas Daniilidis,dGs2BcIAAAAJ
Μιχαήλ Δεβετσικιώτης - Χατζηνικολάου,Michail Devetsikiotis - Chatzinikolaou,Electrical and Computer Engineering,North Carolina State University,Καθηγητής,11511,Michael Devetsikiotis,G5hjq5EAAAAJ
Αλέξιος Δελής,Alexios Delis,Πληροφροικής & Τηλεπικοινωνιών,uoa,Καθηγητής,19716,Unknown,Unknown
Παναγιώτης Δεμέστιχας,Panagiotis Demestichas,Ψηφιακών Συστημάτων,unipi,Καθηγητής,6554,Panagiotis Demestichas,0TYLd78AAAAJ
Αργύριος Δέντσορας,Argyrios Dentsoras,Μηχανολόγων & Αεροναυπηγών Μηχανικών,upatras,Καθηγητής,10991,Argyris Dentsoras,V6BwW20AAAAJ
Ευάγγελος Δερματάς,Evangelos Dermatas,"Τμήματος Μηχανικών
Ηλεκτρονικών Υπολογιστών και Πληροφορικής",upatras,Αναπληρωτής Καθηγητής,4803,Evangelos Dermatas,ireNT3QAAAAJ
Βασίλειος Δημακόπουλος ,Vasileios Dimakopoulos ,Μηχανικών Ηλεκτρονικών Υπολογιστών & Πληροφορικής,uoi,Αναπληρωτής Καθηγητής,522,Vassilios V. Dimakopoulos,JIGQWuAAAAAJ
Ευθαλία Δημαρά,Efthalia Dimara,Οικονομικών Επιστημών,upatras,Καθηγητής,8393,Efthalia Dimara,4F-8cl4AAAAJ
