target_result
2/408:Konstantinos Stefanidis
3/408 (standby):Margkerita Antona
4/408:Nikolaos Avouris
11/408:Georgios Lepouras
30/408:Aikaterini Mania
148/408 (standby):Xenofon  Zampoulis
298/408:Georgios Papaioannou
Metric1: 0.056451612903225805
top_k=57.14285714285714% (top 10 of 408
