target_result
1/408:Konstantinos Stefanidis
2/408 (standby):Margkerita Antona
4/408:Nikolaos Avouris
11/408:Aikaterini Mania
22/408:Georgios Lepouras
106/408 (standby):Xenofon  Zampoulis
226/408:Georgios Papaioannou
Metric1: 0.07526881720430108
top_k=57.14285714285714% (top 10 of 408)
