target_result
1/408:Konstantinos Stefanidis
2/408 (standby):Margkerita Antona
3/408:Nikolaos Avouris
20/408:Georgios Lepouras
30/408:Aikaterini Mania
49/408 (standby):Xenofon  Zampoulis
208/408:Georgios Papaioannou
Metric1: 0.08945686900958466
top_k=42.857142857142854% (top 10 of 408
