target_result
3/25:Ioannis Vlachavas
4/25:Konstantinos Kotropoulos
5/25:Eleftherios Angelis
6/25 (standby):Nikolaos Vasileiadis
8/25:Athina Vakali
12/25:Ioannis Pitas
Metric1: 0.5526315789473685
top_k=83.33333333333334% (top 9 of 25
