target_result
2/25:Ioannis Vlachavas
5/25:Athina Vakali
6/25:Eleftherios Angelis
8/25:Konstantinos Kotropoulos
9/25:Ioannis Pitas
13/25 (standby):Nikolaos Vasileiadis
Average Precision: 0.48618233618233625
