target_result
1/408:Michail Vrachatis
2/408:Dimitrios Poulakis
3/408:Theodoulos Garefalakis
4/408:Ioannis Stamatiou
7/408:Stefanos Gkritzalis
14/408:Emmanouil Magkos
23/408:Nikolaos Diamantis
27/408:Ioannis Mavridis
35/408:Ioannis Emiris
39/408:Vasilios Katos
48/408:Konstantinos Markantonakis
55/408:Nikolaos Bourmpakis
283/408:Georgios Makris
