target_result
1/408:Stefanos Gkritzalis
2/408:Theodoulos Garefalakis
3/408:Dimitrios Poulakis
4/408 (standby):Michail Vrachatis
5/408:Ioannis Stamatiou
14/408 (standby):Konstantinos Markantonakis
17/408:Emmanouil Magkos
25/408 (standby):Vasilios Katos
30/408 (standby):Nikolaos Diamantis
31/408 (standby):Ioannis Emiris
59/408 (standby):Ioannis Mavridis
153/408 (standby):Georgios Makris
161/408 (standby):Nikolaos Bourmpakis
