target_result
1/25:Ioannis Vlachavas
2/25:Apostolos Papadopoulos
3/25:Nikolaos Vasileiadis
5/25 (standby):Konstantinos Kotropoulos
8/25 (standby):Athina Vakali
9/25:Eleftherios Angelis
10/25:Anastasios Tefas 
13/25 (standby):Ioannis Pitas
15/25 (standby):Anastasios Gounaris 
Metric1: 0.6818181818181818
top_k=88.88888888888889% (top 13 of 25
