target_result
2/25:Ioannis Vlachavas
3/25 (standby):Konstantinos Kotropoulos
5/25 (standby):Athina Vakali
6/25:Apostolos Papadopoulos
7/25:Eleftherios Angelis
8/25:Anastasios Tefas 
10/25:Nikolaos Vasileiadis
11/25 (standby):Ioannis Pitas
16/25 (standby):Anastasios Gounaris 
Average Precision: 0.6541546416546417
