target_result
1/25:Ioannis Vlachavas
3/25:Apostolos Papadopoulos
5/25 (standby):Ioannis Pitas
6/25 (standby):Athina Vakali
7/25 (standby):Konstantinos Kotropoulos
8/25:Nikolaos Vasileiadis
9/25:Anastasios Tefas 
11/25:Eleftherios Angelis
16/25 (standby):Anastasios Gounaris 
Average Precision: 0.7183521725188391
