target_result
1/25:Ioannis Vlachavas
2/25:Apostolos Papadopoulos
3/25:Nikolaos Vasileiadis
5/25 (standby):Konstantinos Kotropoulos
7/25:Eleftherios Angelis
9/25 (standby):Ioannis Pitas
10/25 (standby):Athina Vakali
15/25:Anastasios Tefas 
16/25 (standby):Anastasios Gounaris 
Metric1: 0.6617647058823529
top_k=77.77777777777779% (top 13 of 25
