target_result
1/410:Konstantinos Stefanidis
2/410 (standby):Margkerita Antona
3/410:Nikolaos Avouris
19/410:Georgios Lepouras
28/410:Aikaterini Mania
49/410 (standby):Xenofon  Zampoulis
206/410:Georgios Papaioannou
"Metric1:0.09090909090909091, top_9=42.857142857142854%, Average Precision:0.5065039009252873, Prize_metric:0.8992628992628993, Reciprocal Rank:1, Coverage:206"
