target_result
3/25:Amalia Miliou
4/25:Konstantinos Kotropoulos
11/25:Eleftherios Angelis
22/25:Nikolaos Konofaos
"Metric1:0.25, top_6=50.0%, Average Precision:0.32196969696969696, Prize_metric:0.6382978723404256, Reciprocal Rank:3, Coverage:22"
