,max_articles,mean,agglomerative_2_PCA_2,agglomerative_2_PCA_3,agglomerative_2_PCA_5,agglomerative_2_PCA_7,agglomerative_2_PCA_10,agglomerative_3_PCA_2,agglomerative_3_PCA_3,agglomerative_3_PCA_5,agglomerative_3_PCA_7,agglomerative_3_PCA_10,agglomerative_4_PCA_2,agglomerative_4_PCA_3,agglomerative_4_PCA_5,agglomerative_4_PCA_7,agglomerative_4_PCA_10,agglomerative_5_PCA_2,agglomerative_5_PCA_3,agglomerative_5_PCA_5,agglomerative_5_PCA_7,agglomerative_5_PCA_10,agglomerative_7_PCA_2,agglomerative_7_PCA_3,agglomerative_7_PCA_5,agglomerative_7_PCA_7,agglomerative_7_PCA_10,agglomerative_2_isomap_2,agglomerative_2_isomap_3,agglomerative_2_isomap_5,agglomerative_2_isomap_7,agglomerative_2_isomap_10,agglomerative_3_isomap_2,agglomerative_3_isomap_3,agglomerative_3_isomap_5,agglomerative_3_isomap_7,agglomerative_3_isomap_10,agglomerative_4_isomap_2,agglomerative_4_isomap_3,agglomerative_4_isomap_5,agglomerative_4_isomap_7,agglomerative_4_isomap_10,agglomerative_5_isomap_2,agglomerative_5_isomap_3,agglomerative_5_isomap_5,agglomerative_5_isomap_7,agglomerative_5_isomap_10,agglomerative_7_isomap_2,agglomerative_7_isomap_3,agglomerative_7_isomap_5,agglomerative_7_isomap_7,agglomerative_7_isomap_10,kmeans_2_PCA_2,kmeans_2_PCA_3,kmeans_2_PCA_5,kmeans_2_PCA_7,kmeans_2_PCA_10,kmeans_3_PCA_2,kmeans_3_PCA_3,kmeans_3_PCA_5,kmeans_3_PCA_7,kmeans_3_PCA_10,kmeans_4_PCA_2,kmeans_4_PCA_3,kmeans_4_PCA_5,kmeans_4_PCA_7,kmeans_4_PCA_10,kmeans_5_PCA_2,kmeans_5_PCA_3,kmeans_5_PCA_5,kmeans_5_PCA_7,kmeans_5_PCA_10,kmeans_7_PCA_2,kmeans_7_PCA_3,kmeans_7_PCA_5,kmeans_7_PCA_7,kmeans_7_PCA_10,kmeans_2_isomap_2,kmeans_2_isomap_3,kmeans_2_isomap_5,kmeans_2_isomap_7,kmeans_2_isomap_10,kmeans_3_isomap_2,kmeans_3_isomap_3,kmeans_3_isomap_5,kmeans_3_isomap_7,kmeans_3_isomap_10,kmeans_4_isomap_2,kmeans_4_isomap_3,kmeans_4_isomap_5,kmeans_4_isomap_7,kmeans_4_isomap_10,kmeans_5_isomap_2,kmeans_5_isomap_3,kmeans_5_isomap_5,kmeans_5_isomap_7,kmeans_5_isomap_10,kmeans_7_isomap_2,kmeans_7_isomap_3,kmeans_7_isomap_5,kmeans_7_isomap_7,kmeans_7_isomap_10,scibert_average_agglomerative_2_PCA_2,scibert_average_agglomerative_2_PCA_3,scibert_average_agglomerative_2_PCA_5,scibert_average_agglomerative_2_PCA_7,scibert_average_agglomerative_2_PCA_10,scibert_average_agglomerative_3_PCA_2,scibert_average_agglomerative_3_PCA_3,scibert_average_agglomerative_3_PCA_5,scibert_average_agglomerative_3_PCA_7,scibert_average_agglomerative_3_PCA_10,scibert_average_agglomerative_4_PCA_2,scibert_average_agglomerative_4_PCA_3,scibert_average_agglomerative_4_PCA_5,scibert_average_agglomerative_4_PCA_7,scibert_average_agglomerative_4_PCA_10,scibert_average_agglomerative_5_PCA_2,scibert_average_agglomerative_5_PCA_3,scibert_average_agglomerative_5_PCA_5,scibert_average_agglomerative_5_PCA_7,scibert_average_agglomerative_5_PCA_10,scibert_average_agglomerative_7_PCA_2,scibert_average_agglomerative_7_PCA_3,scibert_average_agglomerative_7_PCA_5,scibert_average_agglomerative_7_PCA_7,scibert_average_agglomerative_7_PCA_10,scibert_average_agglomerative_2_isomap_2,scibert_average_agglomerative_2_isomap_3,scibert_average_agglomerative_2_isomap_5,scibert_average_agglomerative_2_isomap_7,scibert_average_agglomerative_2_isomap_10,scibert_average_agglomerative_3_isomap_2,scibert_average_agglomerative_3_isomap_3,scibert_average_agglomerative_3_isomap_5,scibert_average_agglomerative_3_isomap_7,scibert_average_agglomerative_3_isomap_10,scibert_average_agglomerative_4_isomap_2,scibert_average_agglomerative_4_isomap_3,scibert_average_agglomerative_4_isomap_5,scibert_average_agglomerative_4_isomap_7,scibert_average_agglomerative_4_isomap_10,scibert_average_agglomerative_5_isomap_2,scibert_average_agglomerative_5_isomap_3,scibert_average_agglomerative_5_isomap_5,scibert_average_agglomerative_5_isomap_7,scibert_average_agglomerative_5_isomap_10,scibert_average_agglomerative_7_isomap_2,scibert_average_agglomerative_7_isomap_3,scibert_average_agglomerative_7_isomap_5,scibert_average_agglomerative_7_isomap_7,scibert_average_agglomerative_7_isomap_10,scibert_average_kmeans_2_PCA_2,scibert_average_kmeans_2_PCA_3,scibert_average_kmeans_2_PCA_5,scibert_average_kmeans_2_PCA_7,scibert_average_kmeans_2_PCA_10,scibert_average_kmeans_3_PCA_2,scibert_average_kmeans_3_PCA_3,scibert_average_kmeans_3_PCA_5,scibert_average_kmeans_3_PCA_7,scibert_average_kmeans_3_PCA_10,scibert_average_kmeans_4_PCA_2,scibert_average_kmeans_4_PCA_3,scibert_average_kmeans_4_PCA_5,scibert_average_kmeans_4_PCA_7,scibert_average_kmeans_4_PCA_10,scibert_average_kmeans_5_PCA_2,scibert_average_kmeans_5_PCA_3,scibert_average_kmeans_5_PCA_5,scibert_average_kmeans_5_PCA_7,scibert_average_kmeans_5_PCA_10,scibert_average_kmeans_7_PCA_2,scibert_average_kmeans_7_PCA_3,scibert_average_kmeans_7_PCA_5,scibert_average_kmeans_7_PCA_7,scibert_average_kmeans_7_PCA_10,scibert_average_kmeans_2_isomap_2,scibert_average_kmeans_2_isomap_3,scibert_average_kmeans_2_isomap_5,scibert_average_kmeans_2_isomap_7,scibert_average_kmeans_2_isomap_10,scibert_average_kmeans_3_isomap_2,scibert_average_kmeans_3_isomap_3,scibert_average_kmeans_3_isomap_5,scibert_average_kmeans_3_isomap_7,scibert_average_kmeans_3_isomap_10,scibert_average_kmeans_4_isomap_2,scibert_average_kmeans_4_isomap_3,scibert_average_kmeans_4_isomap_5,scibert_average_kmeans_4_isomap_7,scibert_average_kmeans_4_isomap_10,scibert_average_kmeans_5_isomap_2,scibert_average_kmeans_5_isomap_3,scibert_average_kmeans_5_isomap_5,scibert_average_kmeans_5_isomap_7,scibert_average_kmeans_5_isomap_10,scibert_average_kmeans_7_isomap_2,scibert_average_kmeans_7_isomap_3,scibert_average_kmeans_7_isomap_5,scibert_average_kmeans_7_isomap_7,scibert_average_kmeans_7_isomap_10,random,scibert_mean,scibert_max_articles
Metric1,0.304,0.309,0.404,0.382,0.396,0.389,0.412,0.429,0.333,0.323,0.318,0.313,0.6,0.438,0.525,0.488,0.553,0.636,0.438,0.5,0.583,0.553,0.6,0.583,0.5,0.6,0.568,0.333,0.313,0.333,0.339,0.339,0.339,0.292,0.309,0.318,0.323,0.438,0.636,0.525,0.457,0.656,0.477,0.553,0.438,0.457,0.525,0.467,0.525,0.553,0.457,0.525,0.404,0.412,0.412,0.412,0.404,0.389,0.429,0.309,0.318,0.318,0.656,0.583,0.512,0.512,0.488,0.553,0.512,0.488,0.477,0.488,0.583,0.808,0.477,0.457,0.488,0.339,0.333,0.323,0.318,0.318,0.339,0.339,0.323,0.339,0.339,0.412,0.457,0.447,0.447,0.438,0.477,0.538,0.525,0.553,0.568,0.457,0.583,0.553,0.583,0.438,0.3,0.292,0.3,0.304,0.304,0.28,0.273,0.288,0.328,0.333,0.309,0.292,0.288,0.309,0.313,0.292,0.292,0.288,0.3,0.313,0.288,0.288,0.256,0.276,0.288,0.362,0.344,0.368,0.362,0.344,0.309,0.323,0.356,0.344,0.323,0.333,0.304,0.333,0.3,0.333,0.375,0.3,0.288,0.284,0.313,0.382,0.3,0.266,0.276,0.288,0.3,0.304,0.296,0.296,0.3,0.276,0.28,0.253,0.276,0.284,0.313,0.296,0.296,0.296,0.296,0.3,0.292,0.296,0.296,0.292,0.288,0.284,0.276,0.28,0.263,0.362,0.356,0.35,0.35,0.35,0.362,0.344,0.339,0.356,0.344,0.309,0.309,0.313,0.318,0.313,0.323,0.313,0.304,0.288,0.304,0.288,0.323,0.296,0.266,0.318,0.28,0.292,0.284
top_8,0.333,0.333,0.5,0.5,0.5,0.5,0.5,0.667,0.5,0.5,0.5,0.5,0.833,0.667,0.667,0.667,0.667,0.833,0.667,0.667,0.833,0.667,0.833,0.833,0.667,0.833,0.667,0.5,0.333,0.333,0.5,0.5,0.333,0.333,0.333,0.333,0.5,0.667,0.833,0.833,0.667,0.833,0.667,0.833,0.667,0.667,0.833,0.667,0.833,0.833,0.667,0.833,0.5,0.5,0.5,0.5,0.5,0.667,0.667,0.333,0.333,0.333,0.833,0.833,0.667,0.667,0.667,0.833,0.667,0.667,0.667,0.667,0.833,1.0,0.667,0.667,0.667,0.5,0.5,0.5,0.5,0.5,0.333,0.5,0.333,0.333,0.5,0.667,0.667,0.667,0.667,0.667,0.667,0.833,0.833,0.833,0.833,0.667,0.833,0.833,0.833,0.833,0.5,0.5,0.5,0.5,0.5,0.333,0.333,0.167,0.5,0.5,0.333,0.167,0.167,0.333,0.333,0.333,0.167,0.167,0.333,0.333,0.333,0.167,0.167,0.167,0.167,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.667,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.667,0.5,0.5,0.5,0.5,0.667,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.333,0.333,0.5,0.333,0.5,0.333,0.167,0.167,0.167,0.167,0.333,0.167,0.167,0.167,0.167,0.333,0.167,0.167,0.167,0.167,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.333,0.5,0.5,0.5,0.5,,0.5,0.5
Average_Precision,0.29,0.44,0.634,0.654,0.659,0.657,0.668,0.672,0.553,0.53,0.527,0.472,0.83,0.562,0.672,0.561,0.799,0.889,0.642,0.734,0.751,0.801,0.773,0.718,0.696,0.793,0.739,0.543,0.52,0.538,0.543,0.562,0.536,0.505,0.515,0.522,0.477,0.476,0.889,0.581,0.647,0.752,0.515,0.647,0.466,0.549,0.559,0.536,0.605,0.649,0.549,0.537,0.628,0.67,0.637,0.672,0.628,0.718,0.761,0.468,0.526,0.523,0.788,0.628,0.588,0.588,0.579,0.591,0.718,0.579,0.725,0.579,0.77,0.883,0.744,0.634,0.762,0.495,0.467,0.482,0.475,0.475,0.538,0.407,0.395,0.483,0.41,0.462,0.628,0.625,0.665,0.56,0.532,0.627,0.605,0.612,0.65,0.467,0.566,0.647,0.654,0.513,0.401,0.377,0.397,0.404,0.404,0.247,0.243,0.249,0.317,0.323,0.273,0.254,0.249,0.295,0.3,0.254,0.254,0.249,0.253,0.3,0.274,0.249,0.199,0.228,0.353,0.611,0.535,0.613,0.611,0.538,0.382,0.544,0.574,0.561,0.523,0.394,0.379,0.426,0.337,0.37,0.455,0.336,0.296,0.293,0.315,0.377,0.28,0.265,0.277,0.277,0.402,0.404,0.399,0.399,0.426,0.271,0.273,0.254,0.271,0.285,0.3,0.282,0.282,0.282,0.282,0.287,0.277,0.282,0.282,0.277,0.275,0.245,0.262,0.226,0.207,0.607,0.602,0.598,0.56,0.56,0.514,0.401,0.398,0.563,0.402,0.382,0.366,0.405,0.407,0.405,0.388,0.382,0.352,0.289,0.352,0.28,0.307,0.301,0.27,0.317,0.327,0.424,0.407
prize_metric,0.6,0.607,0.726,0.704,0.719,0.711,0.733,0.748,0.644,0.63,0.622,0.615,0.852,0.756,0.815,0.793,0.83,0.867,0.756,0.8,0.844,0.83,0.852,0.844,0.8,0.852,0.837,0.644,0.615,0.644,0.652,0.652,0.652,0.578,0.607,0.622,0.63,0.756,0.867,0.815,0.77,0.874,0.785,0.83,0.756,0.77,0.815,0.778,0.815,0.83,0.77,0.815,0.726,0.733,0.733,0.733,0.726,0.711,0.748,0.607,0.622,0.622,0.874,0.844,0.807,0.807,0.793,0.83,0.807,0.793,0.785,0.793,0.844,0.919,0.785,0.77,0.793,0.652,0.644,0.63,0.622,0.622,0.652,0.652,0.63,0.652,0.652,0.733,0.77,0.763,0.763,0.756,0.785,0.822,0.815,0.83,0.837,0.77,0.844,0.83,0.844,0.756,0.553,0.537,0.553,0.561,0.561,0.512,0.496,0.528,0.602,0.61,0.569,0.537,0.528,0.569,0.577,0.537,0.537,0.528,0.553,0.577,0.528,0.528,0.455,0.504,0.528,0.65,0.626,0.659,0.65,0.626,0.569,0.593,0.642,0.626,0.593,0.61,0.561,0.61,0.553,0.61,0.667,0.553,0.528,0.52,0.577,0.675,0.553,0.48,0.504,0.528,0.553,0.561,0.545,0.545,0.553,0.504,0.512,0.447,0.504,0.52,0.577,0.545,0.545,0.545,0.545,0.553,0.537,0.545,0.545,0.537,0.528,0.52,0.504,0.512,0.472,0.65,0.642,0.634,0.634,0.634,0.65,0.626,0.618,0.642,0.626,0.569,0.569,0.577,0.585,0.577,0.593,0.577,0.561,0.528,0.561,0.528,0.593,0.545,0.48,0.585,0.531,0.578,0.563
Reciprocal_rank,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,4.0,2.0,2.0,3.0,6.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,6.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,4.0,2.0,2.0,2.0,3.78675,1.0,1.0
Coverage,19.0,21.0,22.0,21.0,19.0,20.0,18.0,20.0,23.0,20.0,21.0,21.0,17.0,20.0,15.0,15.0,16.0,18.0,20.0,17.0,15.0,17.0,16.0,16.0,16.0,15.0,14.0,21.0,20.0,20.0,20.0,21.0,20.0,20.0,18.0,20.0,19.0,15.0,18.0,16.0,18.0,13.0,15.0,18.0,17.0,16.0,16.0,17.0,18.0,14.0,17.0,14.0,20.0,20.0,21.0,21.0,20.0,23.0,21.0,22.0,22.0,20.0,13.0,14.0,14.0,14.0,15.0,15.0,16.0,15.0,17.0,15.0,15.0,9.0,18.0,16.0,22.0,20.0,20.0,20.0,20.0,20.0,19.0,19.0,19.0,18.0,19.0,16.0,17.0,18.0,18.0,18.0,17.0,18.0,18.0,16.0,17.0,14.0,10.0,18.0,16.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,22.35325,25.0,25.0
top_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
