target_result
1/410:Antonios Bogris
2/410:Dimitrios  Syvridis
4/410:Kyriakos Vlachos
5/410 (standby):Alexandros  Stavdas
6/410 (standby):Michalis Zervas
10/410 (standby): Emmanouil Kriezis
11/410:Georgios Ellinas
13/410 (standby):Dimitra  Simeonidou
18/410:Georgios Karagiannidis 
24/410 (standby):Foteini - Niovi Pavlidou 
28/410 (standby):Christos Douligeris
29/410 (standby):Traianos Gioultsis
39/410 (standby):Iakovos  Venieris
44/410:Leonidas Georgiadis
46/410 (standby):Efstathios  Sykas
59/410 (standby):Michail  Logothetis
"Metric1:0.12109623964308477, top_22=47.368421052631575%, Average Precision:0.4845887919351856, Prize_metric:0.8165113531959575, Reciprocal Rank:1, Coverage:410"
