target_result
1/410 (standby):Michalis Zervas
2/410:Georgios Ellinas
3/410 (standby):Alexandros  Stavdas
5/410 (standby):Dimitra  Simeonidou
7/410:Georgios Karagiannidis 
9/410:Dimitrios  Syvridis
10/410:Antonios Bogris
11/410:Kyriakos Vlachos
14/410 (standby): Emmanouil Kriezis
15/410 (standby):Michail  Logothetis
21/410 (standby):Foteini - Niovi Pavlidou 
26/410 (standby):Iakovos  Venieris
29/410:Leonidas Georgiadis
55/410 (standby):Efstathios  Sykas
72/410 (standby):Christos Douligeris
107/410 (standby):Traianos Gioultsis
"Metric1:0.11750154607297464, top_22=57.89473684210527%, Average Precision:0.5244096980697386, Prize_metric:0.8102113138207114, Reciprocal Rank:1, Coverage:410"
