target_result
1/25:Ioannis Vlachavas
3/25:Apostolos Papadopoulos
5/25 (standby):Ioannis Pitas
6/25 (standby):Athina Vakali
8/25 (standby):Konstantinos Kotropoulos
9/25:Nikolaos Vasileiadis
10/25:Anastasios Tefas 
13/25:Eleftherios Angelis
15/25 (standby):Anastasios Gounaris 
"Metric1:0.6428571428571429, top_11=77.77777777777779%, Average Precision:0.6822649572649573, Prize_metric:0.8201058201058201, Reciprocal Rank:1, Coverage:15"
