target_result
2/25:Ioannis Vlachavas
3/25 (standby):Konstantinos Kotropoulos
4/25 (standby):Athina Vakali
5/25:Apostolos Papadopoulos
6/25:Eleftherios Angelis
7/25:Anastasios Tefas 
9/25:Nikolaos Vasileiadis
10/25 (standby):Ioannis Pitas
14/25 (standby):Anastasios Gounaris 
"Metric1:0.75, top_11=88.88888888888889%, Average Precision:0.7364197530864198, Prize_metric:0.873015873015873, Reciprocal Rank:2, Coverage:14"
