target_result
2/25:Georgios Papadimitriou
3/25:Amalia Miliou
24/25:Petros Nikopolitidis
"Metric1:0.20689655172413793, top_4=66.66666666666666%, Average Precision:0.4305555555555555, Prize_metric:0.6388888888888888, Reciprocal Rank:2, Coverage:24"
