target_result
1/410 (standby):Alexandros  Stavdas
4/410 (standby):Christos Douligeris
5/410:Georgios Ellinas
8/410 (standby):Efstathios  Sykas
9/410 (standby):Dimitra  Simeonidou
20/410:Dimitrios  Syvridis
21/410 (standby):Iakovos  Venieris
30/410:Antonios Bogris
32/410 (standby):Michalis Zervas
33/410:Georgios Karagiannidis 
48/410 (standby): Emmanouil Kriezis
51/410:Kyriakos Vlachos
74/410 (standby):Foteini - Niovi Pavlidou 
99/410 (standby):Michail  Logothetis
136/410:Leonidas Georgiadis
209/410 (standby):Traianos Gioultsis
"Metric1:0.0945273631840796, top_22=36.84210526315789%, Average Precision:0.2951702948189424, Prize_metric:0.758629741435884, Reciprocal Rank:1, Coverage:410"
