target_result
1/408 (standby):Alexandros  Stavdas
2/408 (standby):Michalis Zervas
3/408:Georgios Ellinas
5/408 (standby):Dimitra  Simeonidou
7/408:Georgios Karagiannidis 
9/408:Dimitrios  Syvridis
10/408:Antonios Bogris
11/408:Kyriakos Vlachos
14/408 (standby): Emmanouil Kriezis
15/408 (standby):Michail  Logothetis
19/408 (standby):Efstathios  Sykas
22/408 (standby):Foteini - Niovi Pavlidou 
27/408 (standby):Iakovos  Venieris
30/408:Leonidas Georgiadis
74/408 (standby):Christos Douligeris
109/408 (standby):Traianos Gioultsis
