target_result
2/410 (standby):Minos Garofalakis
9/410 (standby):Panagiotis Kalnis
10/410:Panagiotis Vasileiadis
11/410 (standby):Evangelia Pitoura
14/410:Spyridon Sioutas
15/410:Michail Vasilakopoulos
17/410 (standby):Dimitrios  Gounopoulos
23/410 (standby):Nikolaos Mamoulis
27/410:Georgios Evangelidis
29/410 (standby):Vasilis Christofidis
30/410:Ioannis Theodoridis
36/410 (standby):Ioannis Ioannidis
45/410:Dimitrios Plexousakis
48/410 (standby):Michail Vazirgiannis
53/410 (standby):Kyriakos Mouratidis
"Metric1:0.3252032520325203, top_18=46.666666666666664%, Average Precision:0.34295517192404207, Prize_metric:0.9563275434243176, Reciprocal Rank:2, Coverage:53"
