target_result
1/410 (standby):Ioannis Ioannidis
3/410 (standby):Minos Garofalakis
9/410:Panagiotis Vasileiadis
12/410:Spyridon Sioutas
16/410 (standby):Nikolaos Mamoulis
17/410:Ioannis Theodoridis
19/410:Michail Vasilakopoulos
20/410 (standby):Evangelia Pitoura
22/410 (standby):Panagiotis Kalnis
25/410 (standby):Vasilis Christofidis
32/410:Dimitrios Plexousakis
34/410 (standby):Dimitrios  Gounopoulos
35/410 (standby):Michail Vazirgiannis
43/410:Georgios Evangelidis
58/410 (standby):Kyriakos Mouratidis
"Metric1:0.3468208092485549, top_18=46.666666666666664%, Average Precision:0.4152405536286386, Prize_metric:0.9601323407775021, Reciprocal Rank:1, Coverage:58"
