target_result
2/408:Georgios Paliouras
5/408 (standby):Maria Spiliopoulou
6/408 (standby):Maria Chalkidi
9/408 (standby):Andreas-Georgios Stafylopatis
10/408:Theodoros Evgeniou
20/408:Aristeidis Lykas
27/408 (standby):Themis Palpanas
28/408 (standby):Vasileios Megalooikonomou
29/408:Panagiotis Tsaparas
30/408:Dimitrios  Gounopoulos
57/408:Stefanos Kollias 
130/408 (standby):Ioannis Theodoridis
Average Precision: 0.343198858232131
