target_result
2/408:Georgios Paliouras
8/408:Theodoros Evgeniou
13/408 (standby):Maria Spiliopoulou
15/408:Dimitrios  Gounopoulos
22/408 (standby):Ioannis Theodoridis
23/408 (standby):Maria Chalkidi
35/408 (standby):Themis Palpanas
38/408:Aristeidis Lykas
46/408 (standby):Vasileios Megalooikonomou
52/408:Panagiotis Tsaparas
62/408 (standby):Andreas-Georgios Stafylopatis
114/408:Stefanos Kollias 
Metric1: 0.1813953488372093
top_k=33.33333333333333% (top 18 of 408
