target_result
1/408:Dimitrios  Gounopoulos
4/408:Georgios Paliouras
5/408 (standby):Maria Spiliopoulou
12/408 (standby):Maria Chalkidi
13/408:Theodoros Evgeniou
18/408:Aristeidis Lykas
19/408 (standby):Vasileios Megalooikonomou
24/408 (standby):Themis Palpanas
34/408:Stefanos Kollias 
38/408 (standby):Ioannis Theodoridis
46/408:Panagiotis Tsaparas
60/408 (standby):Andreas-Georgios Stafylopatis
Average Precision: 0.4016692207599464
