target_result
1/408:Georgios Paliouras
6/408 (standby):Maria Spiliopoulou
8/408:Dimitrios  Gounopoulos
10/408:Theodoros Evgeniou
21/408 (standby):Maria Chalkidi
23/408 (standby):Ioannis Theodoridis
30/408:Aristeidis Lykas
35/408 (standby):Themis Palpanas
38/408 (standby):Andreas-Georgios Stafylopatis
41/408:Panagiotis Tsaparas
70/408 (standby):Vasileios Megalooikonomou
117/408:Stefanos Kollias 
Metric1: 0.195
top_k=33.33333333333333% (top 18 of 408
