target_result
2/410:Georgios Paliouras
4/410 (standby):Maria Spiliopoulou
5/410 (standby):Maria Chalkidi
8/410 (standby):Andreas-Georgios Stafylopatis
9/410:Theodoros Evgeniou
20/410:Aristeidis Lykas
26/410 (standby):Themis Palpanas
27/410 (standby):Vasileios Megalooikonomou
28/410:Panagiotis Tsaparas
29/410:Dimitrios  Gounopoulos
50/410:Stefanos Kollias 
123/410 (standby):Ioannis Theodoridis
"Metric1:0.23564954682779457, top_15=41.66666666666667%, Average Precision:0.3754083128606538, Prize_metric:0.9454058508446642, Reciprocal Rank:2, Coverage:123"
