target_result
1/410:Dimitrios  Gounopoulos
4/410:Georgios Paliouras
5/410 (standby):Maria Spiliopoulou
12/410 (standby):Maria Chalkidi
13/410:Theodoros Evgeniou
17/410:Aristeidis Lykas
18/410 (standby):Vasileios Megalooikonomou
23/410 (standby):Themis Palpanas
33/410:Stefanos Kollias 
37/410 (standby):Ioannis Theodoridis
45/410:Panagiotis Tsaparas
59/410 (standby):Andreas-Georgios Stafylopatis
"Metric1:0.29213483146067415, top_15=41.66666666666667%, Average Precision:0.40820305735126494, Prize_metric:0.9585908529048207, Reciprocal Rank:1, Coverage:59"
