target_result
1/410:Theodoulos Garefalakis
2/410:Dimitrios Poulakis
4/410:Ioannis Stamatiou
6/410:Emmanouil Magkos
7/410:Stefanos Gkritzalis
8/410 (standby):Vasilios Katos
18/410 (standby):Ioannis Mavridis
22/410 (standby):Konstantinos Markantonakis
33/410 (standby):Michail Vrachatis
39/410 (standby):Nikolaos Diamantis
44/410 (standby):Ioannis Emiris
143/410 (standby):Nikolaos Bourmpakis
224/410 (standby):Georgios Makris
"Metric1:0.16515426497277677, top_15=46.15384615384615%, Average Precision:0.5041974585243816, Prize_metric:0.9099390708301599, Reciprocal Rank:1, Coverage:224"
