target_result
1/410:Konstantinos Stefanidis
58/410:Aikaterini Mania
62/410 (standby):Margkerita Antona
94/410:Georgios Lepouras
116/410:Nikolaos Avouris
130/410:Georgios Papaioannou
236/410 (standby):Xenofon  Zampoulis
"Metric1:0.040172166427546625, top_9=14.285714285714285%, Average Precision:0.1777630511804437, Prize_metric:0.7627237627237627, Reciprocal Rank:1, Coverage:236"
