target_result
1/25:Georgios Papadimitriou
7/25:Nikolaos Konofaos
9/25 (standby):Eleftherios Angelis
12/25:Panagiotis Katsaros
20/25:Anastasios Gounaris 
25/25:Petros Nikopolitidis
"Metric1:0.28378378378378377, top_8=50.0%, Average Precision:0.40706349206349196, Prize_metric:0.562962962962963, Reciprocal Rank:1, Coverage:25"
