target_result
1/25:Panagiotis Katsaros
6/25:Georgios Papadimitriou
7/25 (standby):Eleftherios Angelis
16/25:Nikolaos Konofaos
17/25:Anastasios Gounaris 
25/25:Petros Nikopolitidis
"Metric1:0.2916666666666667, top_8=50.0%, Average Precision:0.4243370681605976, Prize_metric:0.5777777777777777, Reciprocal Rank:1, Coverage:25"
