target_result
1/25:Panagiotis Katsaros
4/25 (standby):Eleftherios Angelis
11/25:Anastasios Gounaris 
15/25:Georgios Papadimitriou
16/25:Petros Nikopolitidis
21/25:Nikolaos Konofaos
"Metric1:0.3088235294117647, top_8=33.33333333333333%, Average Precision:0.43960137085137085, Prize_metric:0.6074074074074074, Reciprocal Rank:1, Coverage:21"
