target_result
1/410:Giannis Papadopoulos
7/410:Alexandros Chatzigeorgiou
8/410:Diomidis Spinellis
9/410 (standby):Apostolos Zarras
17/410:Andreas Andreou
19/410 (standby):Anna Filippou
20/410:Ioannis Smaragdakis
24/410 (standby):Andreas Symeonidis
31/410 (standby):Maria  Virvou
32/410 (standby):Nikolaos Malevris
59/410:Ioannis Mavridis
70/410 (standby):Vasilios Katos
186/410 (standby):Vasileios Megalooikonomou
"Metric1:0.18840579710144928, top_16=38.46153846153847%, Average Precision:0.34069103749178564, Prize_metric:0.9228865194211728, Reciprocal Rank:1, Coverage:186"
