target_result
1/410:Giannis Papadopoulos
3/410:Alexandros Chatzigeorgiou
6/410:Diomidis Spinellis
10/410 (standby):Apostolos Zarras
11/410:Ioannis Smaragdakis
13/410:Andreas Andreou
15/410 (standby):Nikolaos Malevris
33/410 (standby):Andreas Symeonidis
36/410 (standby):Anna Filippou
50/410:Ioannis Mavridis
52/410 (standby):Vasilios Katos
141/410 (standby):Vasileios Megalooikonomou
188/410 (standby):Maria  Virvou
"Metric1:0.16279069767441862, top_16=53.84615384615385%, Average Precision:0.38520271327145306, Prize_metric:0.9084158415841584, Reciprocal Rank:1, Coverage:188"
