target_result
1/25:Stavros Dimitriadis
2/25:Ioannis Stamelos
3/25 (standby):Eleftherios Angelis
4/25 (standby):Georgios Papadimitriou
7/25:Dionysios Politis
9/25 (standby):Konstantinos Kotropoulos
11/25:Nikolaos Nikolaidis
12/25:Thrasyvoulos Konstantinos Tsiatsos
14/25 (standby):Athina Vakali
18/25 (standby):Ioannis Vlachavas
Metric1: 0.6790123456790124
top_k=90.0% (top 15 of 25
