target_result
1/25:Stavros Dimitriadis
2/25 (standby):Ioannis Vlachavas
4/25:Ioannis Stamelos
5/25 (standby):Georgios Papadimitriou
6/25 (standby):Athina Vakali
8/25 (standby):Konstantinos Kotropoulos
10/25 (standby):Eleftherios Angelis
11/25:Nikolaos Nikolaidis
12/25:Thrasyvoulos Konstantinos Tsiatsos
17/25:Dionysios Politis
Metric1: 0.7236842105263158
top_k=90.0% (top 15 of 25)
